symbol,size,broker
LJPC,5000,c2
GBT,5000,c2
AKAO,5000,c2
X,5000,c2
HTGM,5000,c2
AFSI,5000,c2
CARA,5000,c2
BOFI,5000,c2
OMER,5000,c2
CRZO,5000,c2
SM,5000,c2
TMST,5000,c2
UNT,5000,c2
SWFT,5000,c2
CAR,5000,c2
EMES,5000,c2
MUR,5000,c2
CF,5000,c2
RRC,5000,c2
FSLR,5000,c2
GPRE,5000,c2
CHRS,5000,c2
NAV,5000,c2
NTNX,5000,c2
SND,5000,c2
SKX,5000,c2
HFC,5000,c2
MIME,5000,c2
SBLK,5000,c2
FNSR,5000,c2
DBD,5000,c2
GLNG,5000,c2
FET,5000,c2
XOG,5000,c2
AMAG,5000,c2
WGO,5000,c2
CVI,5000,c2
EVBG,5000,c2
XON,5000,c2
SGMS,5000,c2
URBN,5000,c2
RICE,5000,c2
TROX,5000,c2
DRYS,5000,c2
PTEN,5000,c2
AAXN,5000,c2
MTDR,5000,c2
HTZ,5000,c2
PUMP,5000,c2
WERN,5000,c2
SUM,5000,c2
MXL,5000,c2
ATI,5000,c2
OII,5000,c2
DK,5000,c2
BGC,5000,c2
BANC,5000,c2
EXEL,5000,c2
TRN,5000,c2
HUN,5000,c2
KATE,5000,c2
PBF,5000,c2
CDEV,5000,c2
WRD,5000,c2
GPS,5000,c2
MU,5000,c2
SFM,5000,c2
CBI,5000,c2
ZEN,5000,c2
THC,5000,c2
SEDG,5000,c2
SCSS,5000,c2
ENTG,5000,c2
OMED,5000,c2
VSM,5000,c2
CREE,5000,c2
CMC,5000,c2
ADRO,5000,c2
TGTX,5000,c2
CENX,5000,c2
LHO,5000,c2
TLRD,5000,c2
COG,5000,c2
ARNC,5000,c2
ASB,5000,c2
MOS,5000,c2
FITB,5000,c2
TIVO,5000,c2
YNDX,5000,c2
GPOR,5000,c2
CUDA,5000,c2
UAA,5000,c2
MRC,5000,c2
SALT,5000,c2
STL,5000,c2
APAM,5000,c2
WMGI,5000,c2
LPI,5000,c2
LPX,5000,c2
MGM,5000,c2
