Date,9ema,20ema,VWAP,Volume 
3/21/2017 1:25:00 PM,,,,0
3/21/2017 1:30:00 PM,,,,100
3/21/2017 1:35:00 PM,,,,300
3/21/2017 1:40:00 PM,,,,1200
3/21/2017 1:45:00 PM,,,,3400
3/21/2017 1:50:00 PM,,,,0
3/21/2017 1:55:00 PM,,,,3600
3/21/2017 2:00:00 PM,,,,200
3/21/2017 2:05:00 PM,1.997444,,,0
3/21/2017 2:10:00 PM,2.003515,,,900
3/21/2017 2:15:00 PM,2.006812,,,3400
3/21/2017 2:20:00 PM,2.00945,,,0
3/21/2017 2:25:00 PM,2.01156,,,0
3/21/2017 2:30:00 PM,2.013248,,,300
3/21/2017 2:35:00 PM,2.014598,,,100
3/21/2017 2:40:00 PM,2.017739,,,400
3/21/2017 2:45:00 PM,2.020251,,,0
3/21/2017 2:50:00 PM,2.032201,,,1300
3/21/2017 2:55:00 PM,2.029761,,,100
3/21/2017 3:00:00 PM,2.022609,2.01297,,700
3/21/2017 3:05:00 PM,2.016887,2.01367,,0
3/21/2017 3:10:00 PM,2.011509,2.01417,,100
3/21/2017 3:15:00 PM,2.007208,2.01467,,5500
3/21/2017 3:20:00 PM,1.999766,2.01332,,700
3/21/2017 3:25:00 PM,2.009813,2.01482,,500
3/21/2017 3:30:00 PM,2.00985,2.01432,,100
3/21/2017 3:35:00 PM,2.01328,2.01467,,500
3/21/2017 3:40:00 PM,2.016024,2.01652,,0
3/21/2017 3:45:00 PM,2.014819,2.01752,,900
3/21/2017 3:50:00 PM,2.013855,2.01663,,200
3/21/2017 3:55:00 PM,2.009084,2.01513,,5200
3/21/2017 4:00:00 PM,2.001267,2.01263,,1700
3/22/2017 9:35:00 AM,1.997014,2.01063,,4100
3/22/2017 9:40:00 AM,1.997611,2.00963,1.99,2100
3/22/2017 9:45:00 AM,2.026089,2.01563,2.010952,2200
3/22/2017 9:50:00 AM,2.034871,2.017615,2.021842,1100
3/22/2017 9:55:00 AM,2.038597,2.018775,2.025807,2500
3/22/2017 10:00:00 AM,2.040858,2.01727,2.026021,100
3/22/2017 10:05:00 AM,2.046686,2.01977,2.039316,6300
3/22/2017 10:10:00 AM,2.047349,2.02257,2.040164,900
3/22/2017 10:15:00 AM,2.041879,2.02387,2.038807,1900
3/22/2017 10:20:00 AM,2.037083,2.025265,2.038349,500
3/22/2017 10:25:00 AM,2.035647,2.02726,2.038311,100
3/22/2017 10:30:00 AM,2.028717,2.02881,2.037699,600
3/22/2017 10:35:00 AM,2.028974,2.02781,2.036755,1800
3/22/2017 10:40:00 AM,2.041179,2.03181,2.036945,200
3/22/2017 10:45:00 AM,2.044943,2.03346,2.040527,4000
3/22/2017 10:50:00 AM,2.047935,2.035105,2.04073,300
3/22/2017 10:55:00 AM,2.050328,2.0376,2.040863,200
3/22/2017 11:00:00 AM,2.055442,2.040895,2.044705,3800
3/22/2017 11:05:00 AM,2.057534,2.04469,2.044916,300
3/22/2017 11:10:00 AM,2.052027,2.04769,2.045805,3200
3/22/2017 11:15:00 AM,2.048681,2.050455,2.044959,2000
3/22/2017 11:20:00 AM,2.042945,2.051455,2.044726,300
3/22/2017 11:25:00 AM,2.034356,2.044455,2.044636,100
3/22/2017 11:30:00 AM,2.035485,2.042955,2.044572,100
3/22/2017 11:35:00 AM,2.034388,2.04178,2.044523,200
3/22/2017 11:40:00 AM,2.03751,2.041785,2.044592,500
3/22/2017 11:45:00 AM,2.040008,2.040785,2.044592,0
3/22/2017 11:50:00 AM,2.040007,2.040285,2.044594,200
3/22/2017 11:55:00 AM,2.038025,2.04079,2.043745,1800
3/22/2017 12:00:00 PM,2.03644,2.0414,2.043745,0
3/22/2017 12:05:00 PM,2.039152,2.042405,2.04374,300
3/22/2017 12:10:00 PM,2.041322,2.044855,2.04374,0
3/22/2017 12:15:00 PM,2.043037,2.04585,2.043784,300
3/22/2017 12:20:00 PM,2.04843,2.04485,2.044406,2000
3/22/2017 12:25:00 PM,2.058744,2.04685,2.047711,3900
3/22/2017 12:30:00 PM,2.076995,2.051355,2.062434,10200
3/22/2017 12:35:00 PM,2.081036,2.05322,2.062807,1400
3/22/2017 12:40:00 PM,2.086829,2.054925,2.063473,900
3/22/2017 12:45:00 PM,2.091463,2.05713,2.063473,0
3/22/2017 12:50:00 PM,2.09139,2.060185,2.065667,3800
3/22/2017 12:55:00 PM,2.091092,2.062915,2.065706,100
3/22/2017 1:00:00 PM,2.090854,2.06641,2.065706,0
3/22/2017 1:05:00 PM,2.090663,2.070905,2.065923,600
3/22/2017 1:10:00 PM,2.09053,2.073405,2.065951,200
3/22/2017 1:15:00 PM,2.090424,2.076405,2.065951,0
3/22/2017 1:20:00 PM,2.086339,2.077405,2.065972,100
3/22/2017 1:25:00 PM,2.083071,2.078405,2.066,200
3/22/2017 1:30:00 PM,2.080457,2.079905,2.066,0
3/22/2017 1:35:00 PM,2.082346,2.082895,2.066021,100
3/22/2017 1:40:00 PM,2.083877,2.08589,2.066058,100
