symbols,size,broker
NLNK,5000,c2
ACOR,5000,c2
CRZO,5000,c2
SM,5000,c2
JUNO,5000,c2
NKTR,5000,c2
CARA,5000,c2
LL,5000,c2
HCLP,5000,c2
FNSR,5000,c2
FSLR,5000,c2
CUDA,5000,c2
RRC,5000,c2
SBLK,5000,c2
GLNG,5000,c2
CF,5000,c2
FET,5000,c2
PE,5000,c2
ITCI,5000,c2
WGO,5000,c2
ARNC,5000,c2
MUR,5000,c2
GPRE,5000,c2
NTNX,5000,c2
SGMS,5000,c2
CVI,5000,c2
HFC,5000,c2
PTEN,5000,c2
CDEV,5000,c2
KATE,5000,c2
PUMP,5000,c2
MTDR,5000,c2
CALI,5000,c2
SSYS,5000,c2
DK,5000,c2
URBN,5000,c2
TROX,5000,c2
YNDX,5000,c2
HTZ,5000,c2
OII,5000,c2
RNG,5000,c2
TBK,5000,c2
BGC,5000,c2
SPU,5000,c2
ZEN,5000,c2
PBF,5000,c2
CBLI,5000,c2
OAS,5000,c2
KS,5000,c2
CENX,5000,c2
LPX,5000,c2
CALA,5000,c2
DRYS,5000,c2
LPI,5000,c2
DEPO,5000,c2
SFM,5000,c2
AOBC,5000,c2
RXN,5000,c2
GPOR,5000,c2
COG,5000,c2
APO,5000,c2
FITB,5000,c2
TDS,5000,c2
SONC,5000,c2
ENDP,5000,c2
MOS,5000,c2
IGT,5000,c2
LILAK,5000,c2
WRD,5000,c2
CIEN,5000,c2
NBR,5000,c2
DNOW,5000,c2
AR,5000,c2
CNX,5000,c2
ARRS,5000,c2
GOOD,5000,c2
WLL,5000,c2
CAMP,5000,c2
RDC,5000,c2
CSRA,5000,c2
SNGX,5000,c2
SAEX,5000,c2
OUT,5000,c2
HOLI,5000,c2
CPE,5000,c2
MRO,5000,c2
GME,5000,c2
CVGI,5000,c2
MAT,5000,c2
ILG,5000,c2
KR,5000,c2
FMSA,5000,c2
MTOR,5000,c2
HZNP,5000,c2
SALE,5000,c2
SN,5000,c2
HRB,5000,c2
JBLU,5000,c2
TRR,5000,c2
RRD,5000,c2
