symbols,size,broker
CNAT,5000,c2
AKBA,5000,c2
FCX,5000,c2
KND,5000,c2
DSX,5000,c2
WPX,5000,c2
NBR,5000,c2
ON,5000,c2
SLM,5000,c2
SC,5000,c2
HMHC,5000,c2
HLX,5000,c2
RF,5000,c2
FNB,5000,c2
SALE,5000,c2
ECA,5000,c2
MRVL,5000,c2
WSR,5000,c2
ISBC,5000,c2
DDR,5000,c2
ETSY,5000,c2
MTG,5000,c2
TPH,5000,c2
HBAN,5000,c2
GCI,5000,c2
JNS,5000,c2
MBI,5000,c2
VIAV,5000,c2
VLY,5000,c2
NYCB,5000,c2
PES,5000,c2
WEN,5000,c2
GPK,5000,c2
PBI,5000,c2
CZZ,5000,c2
MTW,5000,c2
MWA,5000,c2
RAD,5000,c2
MDR,5000,c2
EURN,5000,c2
TTI,5000,c2
RPAI,5000,c2
CNHI,5000,c2
PHMD,5000,c2
WPG,5000,c2
CLD,5000,c2
NWSA,5000,c2
CLNS,5000,c2
SVU,5000,c2
SPLS,5000,c2
FCH,5000,c2
KOPN,5000,c2
CROX,5000,c2
ZIXI,5000,c2
BGCP,5000,c2
FBP,5000,c2
EXTR,5000,c2
AES,5000,c2
SRC,5000,c2
FSIC,5000,c2
VG,5000,c2
F,5000,c2
LXP,5000,c2
ODP,5000,c2
DHT,5000,c2
XRX,5000,c2
CYS,5000,c2
VER,5000,c2
ATRS,5000,c2
AXAS,5000,c2
GNW,5000,c2
TWO,5000,c2
NLY,5000,c2
PSEC,5000,c2
AINV,5000,c2
NYRT,5000,c2
ARNA,5000,c2
CBK,5000,c2
ZNGA,5000,c2
BRCD,5000,c2
