,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-06 09:35:00,4.1,4.1,4.05,4.05,19346.0,-0.0121951219512,4.10569528695,-0.00337988085084,4.12569,0.0,0,0,0,78673.7333333,78673.7333333,19346.0,4.06666666667,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 09:40:00,4.075,4.075,4.05,4.05,1300.0,0.0,4.09455622956,-0.00271307454939,4.11848142857,0.0,0,0,0,5275.83333333,83949.5666667,20646.0,4.0661419484,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 09:45:00,4.0965,4.1,4.05,4.099,13715.0,0.0120987654321,4.09544498365,0.000217057487483,4.11662605442,0.0,1,0,0,55998.345,139947.911667,34361.0,4.07287074493,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 09:50:00,4.075,4.1,4.05,4.0965,3700.0,-0.000609904854843,4.09565598692,5.15214514853e-05,4.11470928733,0.0,0,0,0,15104.0166667,155051.928333,38061.0,4.07377442351,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 09:55:00,4.075,4.1,4.0571,4.1,9600.0,0.000854387892103,4.09652478954,0.00021212782978,4.11330840283,0.0,0,0,0,39222.72,194274.648333,47661.0,4.0761765035,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 10:00:00,4.1,4.15,4.1,4.1,6851.0,0.0,4.09721983163,0.000169666272885,4.11204093589,0.0,0,0,0,28203.2833333,222477.931667,54512.0,4.08126525658,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 10:05:00,4.1,4.11,4.1,4.11,5330.0,0.00243902439024,4.0997758653,0.000623845870931,4.11184656104,0.0,0,0,0,21888.5333333,244366.465,59842.0,4.08352770629,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 10:10:00,4.1,4.1,4.05,4.05,7659.0,-0.014598540146,4.08982069224,-0.00242822373409,4.10595641237,0.0,0,0,0,31146.6,275513.065,67501.0,4.08161456867,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 10:15:00,4.0695,4.075,4.05,4.05,25493.0,0.0,4.08185655379,-0.00194730748553,4.10062723024,0.0,0,0,0,103459.091667,378972.156667,92994.0,4.07523234474,1,0,0,1,0.0,0,0.0,20170408 13:45:20
2017-04-06 10:20:00,4.025,4.05,4.0,4.05,4380.0,0.0,4.07548524304,-0.00156088551247,4.09580558927,0.0,0,0,0,17666.0,396638.156667,97374.0,4.07334767666,1,0,0,1,0.0,0,0.0,20170408 13:45:20
