Date,Close,High,Low,Open,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-21 09:50:00,11.62,11.7,11.61,11.69,185878.0,,,,,0,0.0,0.0,0.0,2164239.51333,11592373.1933,998012.0,11.6154647372,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 09:55:01
2017-04-21 09:55:00,11.565,11.6288,11.56,11.62,108697.0,-0.00473321858864,,,,0,0.0,0.0,0.0,1259211.2662,10983031.6379,946230.0,11.607147985,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:00:10
2017-04-21 10:00:00,11.55,11.62,11.54,11.57,64301.0,-0.00129701686122,,,,0,0.0,0.0,0.0,743962.57,11111769.8017,957406.0,11.606120916,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:05:10
2017-04-21 10:05:00,11.57,11.61,11.53,11.55,130062.0,0.0017316017316,,,,0,0.0,0.0,0.0,1504817.34,12250231.1983,1055799.0,11.6028062144,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:10:11
2017-04-21 10:10:00,11.565,11.5874,11.54,11.575,50457.0,-0.000432152117545,,,,0,0.0,0.0,0.0,583491.4756,11760725.2189,1013511.0,11.6039443271,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:15:05
2017-04-21 10:15:00,11.575,11.585,11.54,11.565,56582.0,0.000864677907479,,,,0,0.0,0.0,0.0,654465.133333,12103499.5067,1043138.0,11.6029705625,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:20:08
2017-04-21 10:25:00,11.725,11.75,11.645,11.645,188096.0,0.0129589632829,,,,0,1.0,1.0,0.0,2201977.17333,21867888.1117,1882511.0,11.6163401498,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:25:04
2017-04-21 10:30:00,11.685,11.725,11.685,11.725,96045.0,-0.00341151385928,,,,0,0.0,0.0,0.0,1123566.425,22991454.5367,1978556.0,11.6203203431,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:30:10
2017-04-21 10:35:00,11.715,11.745,11.685,11.685,191049.0,0.00256739409499,11.6188888889,,,0,0.0,1.0,0.0,2238139.035,25229593.5717,2169605.0,11.6286575536,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:35:02
2017-04-21 10:40:00,11.705,11.735,11.695,11.715,96235.0,-0.000853606487409,11.6361111111,0.00148226068662,,0,0.0,0.0,0.0,1127072.24167,26356665.8133,2265840.0,11.6321831256,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:40:08
2017-04-21 10:45:00,11.715,11.725,11.665,11.705,78218.0,0.000854335753951,11.6518888889,0.00135593220339,,0,0.0,0.0,0.0,915280.963333,27253940.345,2342534.0,11.6343841093,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:45:05
2017-04-21 10:50:00,11.695,11.735,11.675,11.715,120974.0,-0.00170721297482,11.6605111111,0.000739984933297,,0,0.0,0.0,0.0,1415597.42333,28669537.7683,2463508.0,11.6376881132,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:50:03
2017-04-21 10:55:00,11.655,11.705,11.645,11.695,87010.0,-0.00342026507054,11.6594088889,-9.45260642282e-05,,0,0.0,0.0,0.0,1015261.68333,29684799.4517,2550518.0,11.6387335638,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 10:55:12
2017-04-21 11:00:00,11.615,11.655,11.585,11.655,148026.0,-0.003432003432,11.6505271111,-0.000761769131044,,0,0.0,0.0,0.0,1719815.41,31404614.8617,2698544.0,11.637614529,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 11:00:07
2017-04-21 11:05:00,11.585,11.615,11.585,11.615,123030.0,-0.00258286698235,11.6374216889,-0.00112487805034,,0,0.0,0.0,0.0,1426532.85,32831147.7117,2821574.0,11.635756394,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 11:05:11
2017-04-21 11:10:00,11.595,11.605,11.585,11.585,82595.0,0.000863185153215,11.6289373511,-0.000729056487304,,0,0.0,0.0,0.0,957689.025,33788836.7367,2904169.0,11.6345972761,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 11:10:09
2017-04-21 11:15:00,11.525,11.595,11.515,11.595,189047.0,-0.00603708495041,11.6081498809,-0.00178756403914,,0,0.0,0.0,0.0,2182547.615,35971384.3517,3093216.0,11.6291213907,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 11:15:05
2017-04-21 11:20:00,11.475,11.545,11.465,11.525,543958.0,-0.00433839479393,11.5815199047,-0.00229407583905,,0,0.0,0.0,0.0,6252797.21,42224181.5617,3637174.0,11.6090628498,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170421 11:20:09
2017-04-21 15:50:00,11.865,11.865,11.845,11.845,123881.0,0.0339869281046,11.6382159238,0.00489538674753,,0,,,,,,,,,,,,,,,
