,Close,High,Low,Open,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-10 09:35:00,16.36,16.37,16.31,16.37,35697.0,0.000611620795107,0,0,16.38,-1,16.3612503347,-1.91047560788e-05,16.36875,0.0,0,0,0,583526.96,583526.96,35697.0,16.3466666667,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 09:40:00,16.41,16.41,16.33,16.33,6647.0,0.00305623471883,1,1,16.31,1,16.3710002677,0.000595916135116,16.3726785714,0.0,1,0,0,108900.016667,692426.976667,42344.0,16.3524224605,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 09:45:00,16.43,16.45,16.4,16.4,10622.0,0.00121876904327,1,1,16.31,1,16.3828002142,0.000720783474382,16.3781377551,1.0,0,0,1,174484.053333,866911.03,52966.0,16.3673116716,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 09:50:00,16.45,16.45,16.43,16.43,6201.0,0.00121728545344,1,1,16.3212,1,16.3962401714,0.000820369960321,16.3849817784,0.0,0,0,1,101965.11,968876.14,59167.0,16.3752791252,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 09:55:00,16.46,16.46,16.44,16.455,6800.0,0.000607902735562,0,0,16.331504,1,16.4089921371,0.000777737188286,16.392126371,0.0,0,0,1,111882.666667,1080758.80667,65967.0,16.3833250969,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 10:00:00,16.46,16.46,16.445,16.46,9625.0,0.0,0,0,16.34692352,1,16.4191937097,0.000621706226576,16.3985905261,0.0,0,0,1,158379.375,1239138.18167,75592.0,16.3924513396,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 10:05:00,16.455,16.47,16.45,16.47,6200.0,-0.000303766707169,0,0,16.3604926976,1,16.4263549677,0.000436151627991,16.403962857,0.0,0,0,1,102041.666667,1341179.84833,81792.0,16.3974453288,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 10:10:00,16.47,16.475,16.46,16.46,3200.0,0.000911577028259,0,0,16.378013866,1,16.4350839742,0.000531402521775,16.4102521087,0.0,0,0,1,52698.6666667,1393878.515,84992.0,16.4001143049,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 10:15:00,16.4601,16.47,16.46,16.47,3561.0,-0.000601092896175,0,0,16.3974110928,1,16.4400871793,0.000304422245155,16.4149995269,0.0,0,0,1,58626.0487,1452504.5637,88553.0,16.4026578851,1,0,0,1,0.0,0,0.0,20170413 15:21:14
2017-04-10 10:20:00,16.46,16.46,16.445,16.46,3800.0,-6.07529723395e-06,0,0,16.4129288742,1,16.4440697435,0.000242247141803,16.4192852862,0.0,0,0,1,62529.0,1515033.5637,92353.0,16.4048115784,1,0,0,1,0.0,0,0.0,20170413 15:21:14
