,Close,High,Low,Open,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-06 09:35:00,7.58,7.67,7.46,7.67,3965.0,-0.0155844155844,0,0,7.8,-1,7.66078296262,-0.00262931866301,7.645745,0.0,0,0,1,30015.05,30015.05,3965.0,7.57,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 09:40:00,7.67,7.67,7.62,7.62,800.0,0.0118733509235,1,1,7.7864,-1,7.6626263701,0.000240629121753,7.648055,0.0,1,0,1,6122.66666667,36137.7166667,4765.0,7.58399090591,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 09:45:00,7.7,7.7,7.65,7.65,450.0,0.00391134289439,1,1,7.773344,-1,7.67010109608,0.000975478330793,7.65300214286,0.0,1,0,1,3457.5,39595.2166667,5215.0,7.59256311921,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 09:50:00,7.68,7.72,7.68,7.68,600.0,-0.0025974025974,0,0,7.76081024,-1,7.67208087686,0.000258116648007,7.65557336735,0.0,0,0,1,4616.0,44211.2166667,5815.0,7.60296073373,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 09:55:00,7.66,7.66,7.63,7.63,539.0,-0.00260416666667,0,0,7.7487778304,-1,7.66966470149,-0.000314930904789,7.65599495141,0.0,0,0,1,4123.35,48334.5666667,6354.0,7.60695100199,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:00:00,7.69,7.7,7.64,7.65,2047.0,0.00391644908616,1,1,7.73722671718,-1,7.67373176119,0.000530278683692,7.65923352747,0.0,1,0,1,15714.1366667,64048.7033333,8401.0,7.62393802325,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:10:00,7.684,7.73,7.66,7.69,1900.0,-0.000780234070221,0,0,7.46,1,7.67578540895,0.000267620477979,7.66159223914,0.0,0,0,1,14613.5333333,78662.2366667,10301.0,7.63636896094,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:15:00,7.67,7.695,7.63,7.67,20594.0,-0.00182196772514,0,0,7.4708,1,7.67462832716,-0.000150744416226,7.66239297827,0.0,0,0,1,157853.01,236515.246667,30895.0,7.65545384906,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:20:00,7.64,7.67,7.64,7.67,5200.0,-0.00391134289439,0,0,7.481168,1,7.66770266173,-0.000902410532107,7.66026031367,0.0,0,0,1,39780.0,276295.246667,36095.0,7.65466814425,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:25:00,7.67,7.75,7.63,7.63,12811.0,0.00392670157068,1,1,7.49112128,1,7.66816212938,5.99224662612e-05,7.66118790284,0.0,1,0,1,98431.1833333,374726.43,48906.0,7.66217703349,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:30:00,7.71,7.75,7.66,7.66,4600.0,0.00521512385919,1,1,7.5118315776,1,7.67652970351,0.00109120985994,7.665836674,0.0,1,1,1,35450.6666667,410177.096667,53506.0,7.66600188141,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:35:00,7.66,7.6969,7.645,7.6969,690.0,-0.0064850843061,0,0,7.53088505139,1,7.67322376281,-0.000430655625536,7.66528080029,0.0,0,0,1,5290.437,415467.533667,54196.0,7.66601840849,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:40:00,7.68,7.68,7.68,7.68,500.0,0.00261096605744,1,1,7.54841424728,1,7.67457901024,0.000176620346384,7.66668262883,0.0,0,0,1,3840.0,419307.533667,54696.0,7.66614622032,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:45:00,7.68,7.68,7.67,7.68,600.0,0.0,0,0,7.5645411075,1,7.6756632082,0.000141271325717,7.66795094989,0.0,0,0,1,4606.0,423913.533667,55296.0,7.66626037447,1,0,0,1,0.0,0,0.0,20170416 02:00:30
2017-04-06 10:50:00,7.7,7.7,7.7,7.7,100.0,0.00260416666667,1,1,7.5793778189,1,7.68053056656,0.000634128703782,7.67100324038,0.0,0,0,1,770.0,424683.533667,55396.0,7.66632128072,1,0,0,1,0.0,0,0.0,20170416 02:00:30
