,Date,Open,High,Low,Close,Volume,VP,TotalVP,TotalVolume,VWAP,EMA,EMA>VWAP
1364,2017.02.01 18:00,250.0,250.77,249.99,250.74,127,31813.5,31813.5,127,250.5,,-1
1365,2017.02.01 18:05,250.77,251.22,250.75,250.79,77,19320.84,51134.34,204,250.658529412,,-1
1366,2017.02.01 18:10,250.72,251.03,250.38,250.84,74,18555.5,69689.84,278,250.682877698,,-1
1367,2017.02.01 18:15,250.82,251.01,250.54,250.63,92,23066.8533333,92756.6933333,370,250.693765766,,-1
1368,2017.02.01 18:20,250.68,250.91,250.68,250.88,55,13795.2833333,106551.976667,425,250.710533333,,-1
1369,2017.02.01 18:25,250.89,250.89,249.94,249.96,105,26277.65,132829.626667,530,250.621937107,,-1
1370,2017.02.01 18:30,249.97,250.18,249.79,249.79,98,24492.16,157321.786667,628,250.512399151,,-1
1371,2017.02.01 18:35,249.79,249.98,249.68,249.98,67,16741.96,174063.746667,695,250.451434053,,-1
1372,2017.02.01 18:40,249.98,250.03,249.74,249.96,91,22741.81,196805.556667,786,250.38874894,250.396666667,1
1373,2017.02.01 18:45,249.92,249.96,249.22,249.24,140,34926.2666667,231731.823333,926,250.250349172,250.165333333,-1
1374,2017.02.01 18:50,249.25,250.06,249.24,249.77,113,28214.97,259946.793333,1039,250.189406481,250.086266667,-1
1375,2017.02.01 18:55,249.78,250.18,249.78,250.18,65,16253.0333333,276199.826667,1104,250.181002415,250.105013333,-1
1376,2017.02.01 19:00,250.18,250.19,249.8,250.15,96,24004.48,300204.306667,1200,250.170255556,250.114010667,-1
1377,2017.02.01 19:05,250.16,250.36,250.16,250.26,56,14014.56,314218.866667,1256,250.1742569,250.143208533,-1
1378,2017.02.01 19:10,250.37,250.45,250.26,250.26,51,12766.49,326985.356667,1307,250.180073961,250.166566827,-1
1379,2017.02.01 19:15,250.27,250.41,250.26,250.29,19,4756.08,331741.436667,1326,250.182078934,250.191253461,1
1380,2017.02.01 19:20,250.3,250.33,249.91,249.93,38,9502.15333333,341243.59,1364,250.178585044,250.139002769,-1
1381,2017.02.01 19:25,249.95,250.4,249.62,250.25,114,28510.26,369753.85,1478,250.171752368,250.161202215,-1
1382,2017.02.01 19:30,250.26,250.41,249.91,250.25,118,29522.42,399276.27,1596,250.173101504,250.178961772,1
1383,2017.02.01 19:35,250.26,250.3,250.09,250.18,56,14010.64,413286.91,1652,250.173674334,250.179169418,1
1384,2017.02.01 19:40,250.18,250.22,249.88,249.96,57,14251.14,427538.05,1709,250.168548859,250.135335534,-1
1385,2017.02.01 19:45,249.98,250.12,249.98,250.0,44,11001.4666667,438539.516667,1753,250.165154972,250.108268427,-1
1386,2017.02.01 19:50,250.01,250.01,249.7,249.78,52,12991.16,451530.676667,1805,250.155499538,250.042614742,-1
1387,2017.02.01 19:55,249.79,249.91,249.68,249.9,56,13990.48,465521.156667,1861,250.145704818,250.014091794,-1
1388,2017.02.01 20:00,249.92,249.93,249.71,249.89,62,15490.2866667,481011.443333,1923,250.135955972,249.989273435,-1
1389,2017.02.01 20:05,249.9,249.98,249.78,249.84,39,9744.8,490756.243333,1962,250.130603126,249.959418748,-1
1390,2017.02.01 20:10,249.83,249.83,249.6,249.65,38,9488.34666667,500244.59,2000,250.122295,249.897534998,-1
1391,2017.02.01 20:15,249.66,249.99,249.66,249.99,55,13743.4,513987.99,2055,250.115810219,249.916027999,-1
1392,2017.02.01 20:20,250.03,250.03,249.76,249.9,57,14244.11,528232.1,2112,250.109895833,249.912822399,-1
1393,2017.02.01 20:25,249.9,249.9,249.59,249.85,62,15486.36,543718.46,2174,250.10048758,249.900257919,-1
1394,2017.02.01 20:30,249.86,249.97,249.83,249.93,43,10746.13,554464.59,2217,250.096792963,249.906206335,-1
1395,2017.02.01 20:35,249.95,250.01,249.88,249.93,38,9497.72,563962.31,2255,250.094150776,249.910965068,-1
1396,2017.02.01 20:40,249.95,250.09,249.88,250.09,47,11750.94,575713.25,2302,250.092636838,249.946772055,-1
1397,2017.02.01 20:45,250.09,250.17,249.93,249.97,87,21752.03,597465.28,2389,250.090113018,249.951417644,-1
1398,2017.02.01 20:50,249.98,250.13,249.88,249.9,56,13998.32,611463.6,2445,250.087361963,249.941134115,-1
1399,2017.02.01 20:55,249.89,249.91,249.64,249.91,81,20235.42,631699.02,2526,250.078788599,249.934907292,-1
1400,2017.02.01 21:00,249.9,250.09,249.74,249.93,99,24742.08,656441.1,2625,250.0728,249.933925834,-1
1401,2017.02.01 21:05,249.93,250.91,249.93,250.76,97,24301.7333333,680742.833333,2722,250.089211364,250.099140667,1
1402,2017.02.01 21:10,250.8,251.26,250.79,251.16,82,20587.74,701330.573333,2804,250.117893485,250.311312533,1
1403,2017.02.01 21:15,251.13,251.15,250.78,250.79,73,18316.1866667,719646.76,2877,250.137907543,250.407050027,1
