,Close,High,Low,Open,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-13 09:35:00,23.26,23.28,23.1081,23.16,24260.0,0.0113043478261,23.175466395,0.000912719068737,23.202495,0.0,1,0,0,563220.968667,563220.968667,24260.0,23.2160333333,-1,0,0,1,0.0,0,0.0,20170413 09:55:22
2017-04-13 09:40:00,23.41,23.425,23.26,23.26,18697.0,0.00644883920894,23.222373116,0.00202398174856,23.222257381,1.0,1,1,1,436855.405,1000076.37367,42957.0,23.2808709562,-1,1,1,1,23.41,213,4986.33,20170413 09:55:22
2017-04-13 09:45:00,23.42,23.46,23.37,23.3999,19695.0,0.000427167876976,23.2618984928,0.00170203865905,23.2410900113,0.0,0,1,1,461191.25,1461267.62367,62652.0,23.323559083,-1,0,1,1,23.42,213,4988.46,20170413 09:55:22
2017-04-13 09:50:00,23.41,23.46,23.38,23.405,139073.0,-0.000426985482494,23.2915187942,0.00127333981136,23.2571766769,0.0,0,1,1,3256626.08333,4717893.707,201725.0,23.3877491982,-1,0,1,1,23.41,213,4986.33,20170413 09:55:22
2017-04-13 09:55:00,23.51,23.545,23.31,23.41,55798.0,0.00427167876976,23.3352150354,0.00187605804228,23.2812550886,0.0,1,1,1,1308742.09,6026635.797,257523.0,23.4023205578,-1,0,1,1,23.51,213,5007.63,20170413 09:55:22
