Date,Open,High,Low,Close,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-03-13 09:35:00,0.65,0.65,0.65,0.65,5125.0,0.000153869826127,0,0,0.698209105717,-1,0.673006718332,-0.0084738245605,0.706095,0.0,0,0,0,3331.25,3331.25,5125.0,0.65,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 09:55:00,0.69,0.69,0.69,0.69,225.0,0.0615384615385,0,1,0.690335648802,-1,0.676405374665,0.00504995899909,0.704562142857,0.0,1,1,0,155.25,3486.5,5350.0,0.651682242991,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 10:20:00,0.6648,0.6648,0.6648,0.6648,1266.0,-0.0365217391304,0,0,0.69,-1,0.674084299732,-0.00343148505317,0.700775272109,0.0,0,0,0,841.6368,4328.1368,6616.0,0.654192382104,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 11:25:00,0.71,0.7101,0.71,0.71,2490.0,0.0679903730445,0,1,0.649,1,0.681267439786,0.0106561450199,0.701653817622,0.0,1,1,0,1767.983,6096.1198,9106.0,0.669461871294,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 11:30:00,0.71,0.71,0.71,0.71,100.0,0.0,0,0,0.651444,1,0.687013951829,0.00843503110123,0.702448692134,0.0,0,1,0,71.0,6167.1198,9206.0,0.669902215946,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 11:35:00,0.74,0.74,0.7,0.7,5988.0,-0.0140845070423,0,0,0.65379024,1,0.689611161463,0.00378043215478,0.70221548336,0.0,0,1,0,4271.44,10438.5598,15194.0,0.687018546795,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 13:30:00,0.6501,0.6501,0.6501,0.6501,149.0,-0.0712857142857,0,0,0.74,-1,0.68170892917,-0.0114589680884,0.697252103992,0.0,0,0,0,96.8649,10535.4247,15343.0,0.686660020856,-1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 13:50:00,0.65,0.66,0.65,0.65,8500.0,-0.000153822488848,0,0,0.74,-1,0.675367143336,-0.00930277654098,0.692751903612,0.0,0,0,0,5553.33333333,16088.7580333,23843.0,0.674779097988,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 14:55:00,0.674,0.674,0.674,0.674,1000.0,0.0369230769231,1,1,0.7328,-1,0.675093714669,-0.000404859297565,0.69096600803,0.0,1,0,0,674.0,16762.7580333,24843.0,0.674747737122,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 15:25:00,0.6502,0.68,0.6502,0.68,721.0,0.00890207715134,1,1,0.726176,-1,0.676074971735,0.00145351237151,0.689921626313,0.0,1,1,0,483.118066667,17245.8761,25564.0,0.674615713503,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-13 15:50:00,0.67,0.67,0.67,0.67,300.0,-0.0147058823529,0,0,0.72008192,-1,0.674859977388,-0.0017971296052,0.688024328569,0.0,0,0,0,201.0,17446.8761,25864.0,0.674562175224,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-14 10:10:00,0.75,0.75,0.75,0.75,100.0,0.119402985075,0,1,0.65,1,0.689887981911,0.022268329766,0.693926773467,0.0,1,1,0,75.0,17521.8761,25964.0,0.674852723001,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-14 10:20:00,0.7046,0.7046,0.7035,0.7035,1421.0,-0.062,0,0,0.654,1,0.692610385528,0.00394615312816,0.694838509327,0.0,0,1,0,1000.19453333,18522.0706333,27385.0,0.676358248433,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-14 11:00:00,0.7035,0.7035,0.7035,0.7035,100.0,0.0,0,0,0.65784,1,0.694788308423,0.00314451376968,0.695663413201,0.0,0,1,0,70.35,18592.4206333,27485.0,0.676456999576,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-14 11:15:00,0.6979,0.6979,0.6979,0.6979,100.0,-0.00796019900498,0,0,0.6615264,1,0.695410646738,0.000895723644034,0.695876421467,0.0,0,0,0,69.79,18662.2106333,27585.0,0.676534733853,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-14 11:55:00,0.6999,0.6999,0.6999,0.6999,1097.0,0.00286574007738,1,1,0.665065344,1,0.696308517391,0.0012911373396,0.696259619423,1.0,0,1,1,767.7903,19430.0009333,28682.0,0.677428384817,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-14 16:00:00,0.69,0.69,0.69,0.69,100.0,-0.0141448778397,0,0,0.66846273024,1,0.695046813912,-0.00181198914935,0.695663465192,-1.0,0,0,0,69.0,19499.0009333,28782.0,0.677472063558,1,0,0,1,0.0,0,0.0,20170427 11:33:51
2017-03-15 11:25:00,0.77,0.77,0.77,0.77,100.0,0.115942028986,0,1,0.67172422103,1,0.71003745113,0.0215678094158,0.702743135174,1.0,1,1,1,77.0,19576.0009333,28882.0,0.677792428964,1,1,1,1,0.77,3,2.31,20170427 11:33:51
2017-03-15 12:35:00,0.7301,0.7301,0.73,0.73,200.0,-0.0519480519481,0,0,0.679586283348,1,0.714029960904,0.00562295660272,0.705339027062,0.0,0,1,1,146.006666667,19722.0076,29082.0,0.678151695207,1,0,1,1,0.73,3,2.19,20170427 11:33:51
2017-03-15 15:20:00,0.6658,0.6658,0.6658,0.6658,2000.0,-0.0879452054795,0,0,0.77,-1,0.704383968723,-0.0135092260955,0.701573405437,0.0,0,0,1,1331.6,21053.6076,31082.0,0.67735691397,1,0,1,1,0.6658,3,1.9974,20170427 11:33:51
2017-03-16 10:40:00,0.666,0.666,0.6308,0.6308,5448.0,-0.0525683388405,0,0,0.765832,-1,0.689667174979,-0.0208931412385,0.69483308111,-1.0,0,0,0,3500.5216,24554.1292,36530.0,0.67216340542,1,0,1,1,0.6308,3,1.8924,20170427 11:33:51
2017-03-16 10:45:00,0.6,0.6,0.6,0.6,100.0,-0.0488268864933,0,0,0.75502944,-1,0.671733739983,-0.0260030281944,0.685801359099,0.0,0,0,0,60.0,24614.1292,36630.0,0.671966399126,-1,0,1,1,0.6,3,1.8,20170427 11:33:51
2017-03-16 11:00:00,0.63,0.64,0.63,0.64,2264.0,0.0666666666667,0,1,0.7364259072,-1,0.665386991986,-0.0094483090826,0.681439324899,0.0,1,0,0,1441.41333333,26055.5425333,38894.0,0.669911619616,-1,0,1,1,0.64,3,1.92,20170427 11:33:51
2017-03-16 11:05:00,0.6398,0.64,0.6398,0.64,4153.0,0.0,0,0,0.720054798336,-1,0.660309593589,-0.00763074490245,0.677492722528,0.0,0,0,0,2657.64313333,28713.1856667,43047.0,0.66701943612,-1,0,1,1,0.64,3,1.92,20170427 11:33:51
2017-03-16 11:10:00,0.64,0.64,0.624,0.6399,6498.0,-0.00015625,0,0,0.705648222536,-1,0.656227674871,-0.00618182555188,0.67391246324,0.0,0,0,0,4123.8474,32837.0330667,49545.0,0.662771885491,-1,0,1,1,0.6399,3,1.9197,20170427 11:33:51
