Date,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20
2017-04-27 10:20:00,1.945,1.945,1.945,1.945,1118.0,,,,,0
2017-04-27 10:25:00,1.945,1.945,1.935,1.935,16429.0,-0.00514138817481,,,,0
2017-04-27 10:30:00,1.935,1.935,1.925,1.925,18497.0,-0.00516795865633,,,,0
2017-04-27 10:35:00,1.925,1.925,1.925,1.925,2136.0,0.0,,,,0
2017-04-27 10:40:00,1.925,1.925,1.915,1.915,16642.0,-0.00519480519481,,,,0
2017-04-27 10:45:00,1.915,1.915,1.915,1.915,2840.0,0.0,,,,0
2017-04-27 10:50:00,1.915,1.915,1.905,1.905,8065.0,-0.00522193211488,,,,0
2017-04-27 10:55:00,1.905,1.905,1.895,1.895,26580.0,-0.00524934383202,,,,0
2017-04-27 11:05:00,1.895,1.895,1.895,1.895,5629.0,0.0,1.91722222222,,,0
2017-04-27 11:10:00,1.895,1.895,1.895,1.895,9450.0,0.0,1.91277777778,-0.00231816864677,,0
2017-04-27 11:20:00,1.895,1.895,1.895,1.895,5200.0,0.0,1.90922222222,-0.00185884403137,,0
2017-04-27 11:25:00,1.895,1.905,1.895,1.905,30663.0,0.00527704485488,1.90837777778,-0.00044229761974,,0
2017-04-27 11:35:00,1.905,1.905,1.905,1.905,1110.0,0.0,1.90770222222,-0.000353994666791,,0
2017-04-27 11:50:00,1.905,1.905,1.905,1.905,9132.0,0.0,1.90716177778,-0.000283296018712,,0
2017-04-27 12:15:00,1.895,1.895,1.895,1.895,3400.0,-0.00524934383202,1.90472942222,-0.00127537977318,,0
2017-04-27 13:35:00,1.915,1.915,1.915,1.915,1850.0,0.0105540897098,1.90678353778,0.00107842905748,,0
2017-04-27 14:50:00,1.925,1.925,1.925,1.925,600.0,0.00522193211488,1.91042683022,0.00191070059724,,0
2017-04-27 15:05:00,1.925,1.925,1.915,1.915,18709.0,-0.00519480519481,1.91134146418,0.000478758956421,,0
2017-04-27 15:50:00,1.925,1.925,1.925,1.925,13019.0,0.00522193211488,1.91407317134,0.00142920938809,,0
