,Close,High,Low,Open,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-13 09:35:00,22.695,22.74,22.63,22.74,10291.0,-0.00241758241758,22.7051644998,-0.000111905842887,22.69875,0.0,0,0,1,233485.638333,233485.638333,10291.0,22.6883333333,1,0,0,1,0.0,0,0.0,20170413 09:55:13
2017-04-13 09:40:00,22.7,22.76,22.64,22.67,6000.0,0.000220312844239,22.7041315998,-4.549185056e-05,22.6988690476,0.0,0,0,1,136200.0,369685.638333,16291.0,22.6926301844,1,0,0,1,0.0,0,0.0,20170413 09:55:13
2017-04-13 09:45:00,22.66,22.73,22.66,22.68,5184.0,-0.00176211453744,22.6953052798,-0.000388753911221,22.6951672336,0.0,0,0,1,117590.4,487276.038333,21475.0,22.6903859527,1,0,0,1,0.0,0,0.0,20170413 09:55:13
2017-04-13 09:50:00,22.58,22.71,22.55,22.71,5857.0,-0.00353045013239,22.6722442239,-0.00101611569811,22.6841989256,-1.0,0,0,0,132446.293333,619722.331667,27332.0,22.6738742744,-1,0,0,1,0.0,0,0.0,20170413 09:55:13
2017-04-13 09:55:00,22.63,22.64,22.56,22.56,2502.0,0.0022143489814,22.6637953791,-0.000372651453961,22.6790371232,0.0,0,0,0,56570.22,676292.551667,29834.0,22.6685175192,-1,0,0,1,0.0,0,0.0,20170413 09:55:13
