,Close,High,Low,Open,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-06 09:35:00,16.85,17.03,16.85,17.03,78488.0,-0.0146198830409,0,0,17.1416,-1,17.0606909095,-0.00307787110114,17.11825,0.0,0,0,0,1327232.08,1327232.08,78488.0,16.91,1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 09:40:00,16.84,16.92,16.8,16.8689,17708.0,-0.000593471810089,0,0,17.13,-1,17.0165527276,-0.00258712745803,17.09175,0.0,0,0,0,298438.826667,1625670.90667,96196.0,16.8995686584,1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 09:45:00,16.865,16.89,16.84,16.85,39953.0,0.00148456057007,1,1,17.0904,-1,16.9862421821,-0.00178123889187,17.0701547619,0.0,0,0,0,673807.345,2299478.25167,136149.0,16.8894244663,1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 09:50:00,16.74,16.9,16.74,16.9,34202.0,-0.00741179958494,0,0,17.055552,-1,16.9369937457,-0.00289931321426,17.0387114512,0.0,0,0,0,574365.586667,2873843.83833,170351.0,16.8701318943,1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 09:55:00,16.83,16.85,16.72,16.72,15871.0,0.00537634408602,1,1,17.00506368,-1,16.9155949965,-0.00126343254634,17.0188341702,0.0,1,0,0,266632.8,3140476.63833,186222.0,16.864154817,1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 10:00:00,16.81,16.86,16.8,16.84,14292.0,-0.00118835412953,0,0,16.948050944,-1,16.8944759972,-0.00124849284419,16.9989452016,0.0,0,0,0,240439.08,3380915.71833,200514.0,16.8612451915,1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 10:05:00,16.66,16.81,16.63,16.8,34607.0,-0.00892325996431,0,0,16.9024407552,-1,16.8475807978,-0.00277577117244,16.9666647062,0.0,0,0,0,577936.9,3958852.61833,235121.0,16.8375118272,1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 10:10:00,16.61,16.6961,16.6,16.66,24345.0,-0.00300120048019,0,0,16.86,-1,16.8000646382,-0.00282035504846,16.9326966389,0.0,0,0,0,404988.0015,4363840.61983,259466.0,16.8185450881,-1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 10:15:00,16.585,16.63,16.54,16.62,45656.0,-0.00150511739916,0,0,16.81,-1,16.7570517106,-0.00256028346153,16.8995826733,0.0,0,0,0,757204.76,5121045.37983,305122.0,16.7835992811,-1,0,0,1,0.0,0,0.0,20170416 01:47:26
2017-04-06 10:20:00,16.62,16.65,16.58,16.58,18508.0,0.00211034066928,1,1,16.756,-1,16.7296413685,-0.00163574968855,16.8729557521,0.0,0,0,0,307541.266667,5428586.6465,323630.0,16.774052611,-1,0,0,1,0.0,0,0.0,20170416 01:47:26
