Date,Open,High,Low,Close,Volume,TotalVolume
2017-03-07 10:00:00,252.62,253.0,252.31,252.65,41668.0,609188.0
2017-03-07 10:05:00,252.645,253.0,252.3501,253.0,24796.0,638312.0
2017-03-07 10:10:00,252.933,252.99,252.25,252.6122,36240.0,681792.0
2017-03-07 10:15:00,252.53,252.68,252.0,252.159,27585.0,714679.0
2017-03-07 10:20:00,252.19,252.52,252.1335,252.31,29557.0,748954.0
2017-03-07 10:25:00,252.26,252.95,252.14,252.81,47216.0,801956.0
2017-03-07 10:30:00,252.726,252.81,252.33,252.57,49627.0,859684.0
2017-03-07 10:35:00,252.59,252.78,252.17,252.45,57804.0,927803.0
2017-03-07 10:40:00,252.4,252.6,252.21,252.325,46463.0,981310.0
2017-03-07 10:45:00,252.29,252.34,251.55,251.67,56109.0,1045744.0
2017-03-07 10:50:00,251.79,251.99,251.57,251.58,39841.0,1089862.0
2017-03-07 10:55:00,251.57,251.79,251.1901,251.745,62350.0,1161590.0
2017-03-07 11:00:00,251.8214,252.0438,251.34,251.435,44658.0,1212397.0
2017-03-07 11:05:00,251.6353,251.7172,251.21,251.36,24685.0,1240061.0
2017-03-07 11:10:00,251.3973,251.49,251.02,251.06,32731.0,1277075.0
2017-03-07 11:15:00,251.0633,251.1618,250.84,250.96,27537.0,1309099.0
2017-03-07 11:20:00,250.96,250.97,250.4,250.707,44961.0,1358498.0
2017-03-07 11:25:00,250.75,251.13,250.58,250.77,52178.0,1419486.0
2017-03-07 11:30:00,250.84,250.92,250.13,250.26,36871.0,1464111.0
2017-03-07 11:35:00,250.39,250.62,250.15,250.39,46380.0,1515187.0
2017-03-07 11:40:00,250.47,250.73,250.31,250.5552,38378.0,1557298.0
2017-03-07 11:45:00,250.54,250.71,250.14,250.52,22696.0,1597460.0
2017-03-07 11:50:00,250.3196,250.53,250.08,250.4006,37277.0,1640547.0
2017-03-07 11:55:00,250.48,250.7981,250.268,250.695,42753.0,1699326.0
2017-03-07 12:00:00,250.7032,250.83,250.38,250.69,45140.0,1752174.0
2017-03-07 12:05:00,250.68,250.77,249.94,249.991,45930.0,1813757.0
2017-03-07 12:10:00,250.072,250.3195,250.0,250.223,22756.0,1839944.0
2017-03-07 12:15:00,250.23,250.3,250.02,250.1716,29001.0,1881856.0
2017-03-07 12:20:00,250.15,250.19,249.7,249.98,25926.0,1912936.0
2017-03-07 12:25:00,249.99,250.18,249.8,249.96,24485.0,1942199.0
2017-03-07 12:30:00,249.94,250.43,249.86,250.43,30049.0,1977673.0
2017-03-07 12:35:00,250.31,250.552,249.98,250.44,31704.0,2013745.0
2017-03-07 12:40:00,250.57,250.66,250.31,250.56,29823.0,2048517.0
2017-03-07 12:45:00,250.5421,250.67,250.33,250.4,22722.0,2074755.0
2017-03-07 12:50:00,250.3525,250.4116,250.02,250.22,12730.0,2090103.0
2017-03-07 12:55:00,250.13,250.49,250.13,250.4574,22306.0,2114529.0
2017-03-07 13:00:00,250.48,250.68,250.28,250.29,9387.0,2125290.0
2017-03-07 13:05:00,250.3128,250.53,250.18,250.18,20847.0,2149139.0
2017-03-07 13:10:00,250.159,250.55,250.159,250.31,26151.0,2178850.0
2017-03-07 13:15:00,250.25,250.52,250.22,250.344,25539.0,2207241.0
2017-03-07 13:20:00,250.38,250.67,250.3,250.57,30655.0,2241804.0
2017-03-07 13:25:00,250.54,250.55,250.3,250.4,15979.0,2261008.0
2017-03-07 13:30:00,250.4,250.5,250.39,250.4168,30257.0,2293886.0
2017-03-07 13:35:00,250.46,250.5,250.39,250.445,11012.0,2306965.0
2017-03-07 13:40:00,250.39,250.46,250.02,250.02,30375.0,2339765.0
2017-03-07 13:45:00,250.0,250.18,249.8,249.99,62199.0,2405989.0
2017-03-07 13:50:00,250.02,250.23,250.02,250.15,12634.0,2422657.0
2017-03-07 13:55:00,250.2,250.26,250.02,250.0227,20917.0,2446808.0
2017-03-07 14:00:00,249.95,249.98,249.49,249.6184,32918.0,2484550.0
