Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-14 09:35:00,21.08,21.1303,20.88,20.9472,18740.0,18740.0,-0.010056710775,21.1176792108,-0.00201413990725,21.16361,0.0,0,0,0,393274.516667,393274.516667,20.9858333333,1,0,0,1,0
2017-03-14 09:40:00,20.9,21.03,20.89,20.95,17475.0,36215.0,0.000133669416438,21.0841433686,-0.00158804581787,21.1432661905,0.0,0,0,0,366217.75,759492.266667,20.9717593999,1,0,0,1,0
2017-03-14 09:45:00,20.95,21.01,20.9,20.92,6956.0,43171.0,-0.00143198090692,21.0513146949,-0.00155703142163,21.1220027438,0.0,0,0,0,145681.826667,905174.093333,20.9671792021,1,0,0,1,0
