Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-14 09:35:00,12.12,12.25,12.12,12.24,1919.0,1919.0,0.00327868852459,12.1918398823,0.000988524407609,12.18175,0.0,1.0,0.0,1.0,23418.1966667,23418.1966667,12.2033333333,-1.0,0.0,0.0,1.0,0.0
2017-03-14 09:45:00,11.96,11.96,11.96,11.96,100.0,7519.0,0.00251466890193,12.0715775246,-0.00230542137534,12.1287057823,0.0,0.0,0.0,0.0,1196.0,90000.06,11.9696847985,1.0,0.0,0.0,1.0,0.0
2017-03-14 09:50:00,11.835,11.835,11.835,11.835,100.0,10419.0,-0.00210792580101,12.0082620197,-0.00359417718063,12.092117023,0.0,0.0,0.0,0.0,1183.5,124478.226667,11.9472335797,1.0,0.0,0.0,1.0,0.0
2017-03-14 09:55:00,11.83,11.83,11.7044,11.71,2000.0,18418.0,-0.00888700804063,11.9454096158,-0.00490262573801,12.0540015696,0.0,0.0,0.0,0.0,23496.2666667,218789.688333,11.8791230499,1.0,0.0,0.0,1.0,0.0
