,Open,High,Low,Close,Volume
2017-03-15 13:05:00,30.125,30.15,30.05,30.15,20232.0
2017-03-15 13:10:00,30.1,30.15,30.05,30.075,5600.0
2017-03-15 13:15:00,30.1,30.1,30.0,30.0,7411.0
2017-03-15 13:20:00,30.025,30.025,30.0,30.0,7500.0
2017-03-15 13:25:00,30.0,30.05,29.95,30.0,20738.0
2017-03-15 13:30:00,30.0,30.025,29.975,30.025,14712.0
2017-03-15 13:35:00,30.0,30.0,29.95,29.975,6500.0
2017-03-15 13:40:00,30.0,30.05,30.0,30.05,8800.0
2017-03-15 13:45:00,30.05,30.05,30.0,30.05,6400.0
2017-03-15 13:50:00,30.05,30.05,30.025,30.05,2300.0
2017-03-15 13:55:00,30.025,30.05,30.0,30.025,4900.0
2017-03-15 14:00:00,30.025,30.05,29.975,29.9865,16043.0
2017-03-15 14:05:00,29.975,30.15,29.975,30.15,19701.0
2017-03-15 14:10:00,30.15,30.2,30.05,30.075,12566.0
2017-03-15 14:15:00,30.05,30.1,30.05,30.1,10637.0
2017-03-15 14:20:00,30.1,30.1,30.05,30.1,3700.0
2017-03-15 14:25:00,30.075,30.1,30.05,30.1,6000.0
2017-03-15 14:30:00,30.1,30.15,30.075,30.15,16649.0
2017-03-15 14:35:00,30.15,30.15,30.125,30.125,4615.0
2017-03-15 14:40:00,30.15,30.15,30.0,30.05,42648.0
2017-03-15 14:45:00,30.05,30.15,30.05,30.15,9471.0
2017-03-15 14:50:00,30.15,30.15,30.125,30.15,7815.0
2017-03-15 14:55:00,30.15,30.2,30.1,30.1,15081.0
2017-03-15 15:00:00,30.1,30.15,30.1,30.1,4036.0
2017-03-15 15:05:00,30.125,30.125,30.1,30.1,4282.0
2017-03-15 15:10:00,30.1,30.125,30.1,30.1,4700.0
2017-03-15 15:15:00,30.1,30.15,30.1,30.1,7049.0
2017-03-15 15:20:00,30.125,30.15,30.1,30.15,4220.0
2017-03-15 15:25:00,30.125,30.15,30.1,30.1,4364.0
2017-03-15 15:30:00,30.125,30.15,30.1,30.1,4085.0
2017-03-15 15:35:00,30.125,30.15,30.1,30.1,7223.0
2017-03-15 15:40:00,30.125,30.15,30.1,30.125,24982.0
2017-03-15 15:45:00,30.125,30.15,30.1,30.1,11720.0
2017-03-15 15:50:00,30.1,30.15,30.05,30.05,54501.0
2017-03-15 15:55:00,30.075,30.15,30.05,30.125,55086.0
2017-03-15 16:00:00,30.1,30.15,30.1,30.15,69543.0
2017-03-15 16:05:00,30.1,30.1,30.1,30.1,54594.0
2017-03-15 16:20:00,30.1,30.1,30.1,30.1,390.0
2017-03-16 09:35:00,30.1,30.35,30.05,30.3,26259.0
2017-03-16 09:40:00,30.2,30.35,30.2,30.35,6167.0
2017-03-16 09:45:00,30.25,30.3,30.225,30.25,3366.0
2017-03-16 09:50:00,30.225,30.3,30.225,30.25,3329.0
2017-03-16 09:55:00,30.25,30.3,30.25,30.275,2200.0
2017-03-16 10:00:00,30.275,30.3,30.2,30.3,12619.0
2017-03-16 10:05:00,30.3,30.3,30.25,30.25,1900.0
2017-03-16 10:10:00,30.25,30.3,30.225,30.25,5067.0
2017-03-16 10:15:00,30.275,30.275,30.225,30.225,7088.0
