Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-14 09:35:00,14.55,14.8,14.45,14.5,7561.0,7561.0,-0.0102389078498,14.6258883541,-0.00214718663994,14.65375,0.0,0,0,0,110264.583333,110264.583333,14.5833333333,1,0,0,1,0
2017-03-14 09:40:00,14.5,14.6,14.45,14.6,5444.0,13005.0,0.00689655172414,14.6207106833,-0.000354007270529,14.6486309524,0.0,1,0,0,79210.2,189474.783333,14.5693797257,1,0,0,1,0
2017-03-14 09:45:00,14.65,14.65,14.55,14.6,7260.0,20265.0,0.0,14.6165685466,-0.000283306108846,14.6439994331,0.0,0,0,0,105996.0,295470.783333,14.5803495353,1,0,0,1,0
2017-03-14 09:50:00,14.45,14.55,14.45,14.525,3802.0,24067.0,-0.00513698630137,14.5982548373,-0.00125294177381,14.6326661538,0.0,0,0,0,55160.6833333,350631.466667,14.5689727289,1,0,0,1,0
2017-03-14 09:55:00,14.55,14.55,14.4,14.425,3155.0,27222.0,-0.00688468158348,14.5636038698,-0.00237363766037,14.6128884248,0.0,0,0,0,45616.0416667,396247.508333,14.5561497441,1,0,0,1,0
2017-03-14 10:00:00,14.4,14.4,14.4,14.4,100.0,27322.0,-0.00173310225303,14.5308830959,-0.00224674979204,14.5926133368,0.0,0,0,0,1440.0,397687.508333,14.5555782276,-1,0,0,1,0
