Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-13 09:35:00,13.79,13.79,13.67,13.68,12496.0,12496.0,-0.0158273381295,13.7719870219,-0.00166703751522,13.72525,0.0,0,0,1,171361.813333,171361.813333,13.7133333333,1,0,0,1,0
2017-03-13 09:40:00,13.66,13.72,13.59,13.64,4780.0,17276.0,-0.00292397660819,13.7455896175,-0.00191674624301,13.7171309524,0.0,0,0,1,65247.0,236608.813333,13.6958099869,1,0,0,1,0
2017-03-13 09:45:00,13.64,13.6782,13.6,13.66,9842.0,27118.0,0.00146627565982,13.728471694,-0.00124533934031,13.7116899093,0.0,0,0,1,134304.588133,370913.401467,13.6777565258,1,0,0,1,0
2017-03-13 09:50:00,13.64,13.68,13.61,13.63,4500.0,31618.0,-0.00219619326501,13.7087773552,-0.00143456163541,13.7039099179,0.0,0,0,1,61380.0,432293.401467,13.6723828663,1,0,0,1,0
2017-03-13 09:55:00,13.63,13.63,13.5446,13.55,4560.0,36178.0,-0.00586940572267,13.6770218842,-0.00231643349522,13.6892518305,-1.0,0,0,0,61901.392,494194.793467,13.6600915879,1,0,0,1,0
2017-03-13 10:00:00,13.5678,13.5678,13.41,13.49,23435.0,59613.0,-0.00442804428044,13.6396175073,-0.00273483344196,13.6702754657,0.0,0,0,0,316120.964333,810315.7578,13.5929370741,1,0,0,1,0
2017-03-13 10:05:00,13.51,13.55,13.5,13.5,3760.0,63373.0,0.000741289844329,13.6116940059,-0.00204723493552,13.6540587547,0.0,0,0,0,50822.6666667,861138.424467,13.5884118547,1,0,0,1,0
2017-03-13 10:10:00,13.47,13.56,13.47,13.54,53505.0,116878.0,0.00296296296296,13.5973552047,-0.0010534178309,13.6431960161,0.0,0,0,0,723565.95,1584704.37447,13.5586198811,1,0,0,1,0
2017-03-13 10:15:00,13.54,13.57,13.54,13.55,1000.0,117878.0,0.000738552437223,13.5878841638,-0.000696535524525,13.6343202051,0.0,0,0,0,13553.3333333,1598257.7078,13.5585750335,1,0,0,1,0
2017-03-13 10:20:00,13.55,13.6,13.55,13.58,2600.0,120478.0,0.00221402214022,13.586307331,-0.000116046967484,13.6291468522,0.0,0,0,0,35299.3333333,1633557.04113,13.5589654637,1,0,0,1,0
