,Close,High,Low,Open,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-07 09:35:00,4.2362,4.28,4.21,4.24,19821.0,-0.0102336448598,0,0,4.28,-1,4.25256982674,-0.000961423860332,4.22956,0.0,0,0,1,84082.0034,84082.0034,19821.0,4.24206666667,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 09:40:00,4.26,4.27,4.23,4.23,14327.0,0.00561824276474,1,1,4.28,-1,4.25405586139,0.000349443915754,4.23245904762,0.0,1,0,1,60937.5066667,145019.510067,34148.0,4.24679366483,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 09:45:00,4.23,4.256,4.23,4.25,13211.0,-0.00704225352113,0,0,4.28,-1,4.24924468911,-0.00113096123675,4.23222485261,0.0,0,0,1,55997.0253333,201016.5354,47359.0,4.24452660318,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 09:50:00,4.21,4.22,4.21,4.22,21381.0,-0.00472813238771,0,0,4.2772,-1,4.24139575129,-0.00184713717303,4.23010819998,0.0,0,0,1,90085.28,291101.8154,68740.0,4.23482419843,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 09:55:00,4.23,4.25,4.2,4.2,23800.0,0.00475059382423,1,1,4.274512,-1,4.23911660103,-0.000537358546969,4.23009789522,0.0,1,0,1,100594.666667,391696.482067,92540.0,4.2327261948,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:00:00,4.23,4.23,4.22,4.225,7911.0,0.0,0,0,4.26855104,-1,4.23729328083,-0.00043011796514,4.23008857186,0.0,0,0,1,33437.16,425133.642067,100451.0,4.23224897778,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:05:00,4.22,4.23,4.2148,4.22,118337.0,-0.00236406619385,0,0,4.2630669568,-1,4.23383462466,-0.000816241863832,4.2291277555,0.0,0,0,1,499571.4792,924705.121267,218788.0,4.22648920995,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:10:00,4.21,4.22,4.205,4.22,59336.0,-0.00236966824645,0,0,4.25802160026,-1,4.22906769973,-0.00112591193438,4.2273060645,0.0,0,0,1,249903.453333,1174608.5746,278124.0,4.22332691389,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:15:00,4.24,4.26,4.205,4.205,22507.0,0.00712589073634,1,1,4.2,1,4.23125415978,0.000517007579342,4.22851501074,0.0,1,0,1,95317.145,1269925.7196,300631.0,4.22420082959,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:20:00,4.265,4.265,4.25,4.25,21215.0,0.00589622641509,1,1,4.2024,1,4.23800332783,0.00159507507434,4.23198977162,0.0,1,1,1,90375.9,1360301.6196,321846.0,4.22656058985,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:25:00,4.265,4.27,4.2642,4.265,49500.0,0.0,0,0,4.205,1,4.24340266226,0.00127402788934,4.23513360289,0.0,0,1,1,211186.8,1571488.4196,371346.0,4.23187113797,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:30:00,4.27,4.27,4.265,4.265,2400.0,0.00117233294256,1,1,4.2128,1,4.24872212981,0.00125358538211,4.23845421214,0.0,0,1,1,10244.0,1581732.4196,373746.0,4.23210527899,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:35:00,4.25,4.27,4.25,4.265,10364.0,-0.00468384074941,0,0,4.219664,1,4.24897770385,6.01531543925e-05,4.23955381098,0.0,0,0,1,44116.0933333,1625848.51293,384110.0,4.23276799077,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:40:00,4.2593,4.26,4.25,4.255,27342.0,0.00218823529412,1,1,4.22570432,1,4.25104216308,0.00048587198486,4.24143440041,0.0,0,0,1,116379.4002,1742227.91313,411452.0,4.23434061114,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:45:00,4.24,4.26,4.24,4.255,6500.0,-0.00453126100533,0,0,4.2310198016,1,4.24883373046,-0.000519503813607,4.24129779085,0.0,0,0,1,27603.3333333,1769831.24647,417952.0,4.23453230626,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:50:00,4.24,4.25,4.23,4.24,49266.0,0.0,0,0,4.27,-1,4.24706698437,-0.000415819070479,4.24117419172,0.0,0,0,1,208887.84,1978719.08647,467218.0,4.23510884954,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 10:55:00,4.25,4.25,4.24,4.245,24200.0,0.00235849056604,1,1,4.2684,-1,4.2476535875,0.000138119584227,4.24201474489,0.0,0,0,1,102769.333333,2081488.4198,491418.0,4.23567801709,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 11:00:00,4.25,4.25,4.24,4.245,3200.0,0.0,0,0,4.266864,-1,4.24812287,0.000110480407874,4.24277524538,0.0,0,0,1,13589.3333333,2095077.75313,494618.0,4.23574910968,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 11:05:00,4.25,4.255,4.24,4.25,13150.0,0.0,0,0,4.26538944,-1,4.248498296,8.83745626412e-05,4.24346331725,0.0,0,0,1,55865.5833333,2150943.33647,507768.0,4.23607501155,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 11:10:00,4.26,4.26,4.25,4.25,77787.0,0.00235294117647,1,1,4.2639738624,-1,4.2507986368,0.000541447975326,4.24503823941,0.0,0,0,1,331113.33,2482056.66647,585555.0,4.23881047291,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 11:15:00,4.255,4.26,4.25,4.26,24056.0,-0.00117370892019,0,0,4.2626149079,-1,4.25163890944,0.000197674063684,4.24598697852,0.0,0,0,1,102358.28,2584414.94647,609611.0,4.23944933157,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 11:20:00,4.25,4.26,4.25,4.255,2700.0,-0.00117508813161,0,0,4.26131031159,-1,4.25131112755,-7.70954200563e-05,4.24636917104,0.0,0,0,1,11484.0,2595898.94647,612311.0,4.23951055341,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 11:25:00,4.26,4.26,4.25,4.255,10658.0,0.00235294117647,1,1,4.26005789912,-1,4.25304890204,0.00040876201194,4.24766734523,0.0,0,0,1,45367.5533333,2641266.4998,622969.0,4.23980406698,1,0,0,1,0.0,0,0.0,20170415 22:30:22
2017-04-07 11:30:00,4.2325,4.265,4.2325,4.26,47389.0,-0.00645539906103,0,0,4.23,1,4.24893912163,-0.000966313932136,4.24622283616,0.0,0,0,1,201087.323333,2842353.82313,670358.0,4.24005355815,1,0,0,1,0.0,0,0.0,20170415 22:30:22
