,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20
2017-03-23 22:15:00,140.87,140.89,140.86,140.86,1688.0,,,,,0
2017-03-23 22:25:00,140.92,140.93,140.91,140.93,3950.0,0.000496947323584,,,,0
2017-03-23 22:30:00,140.93,140.99,140.93,140.99,3266.0,0.000425743276804,,,,0
2017-03-23 22:35:00,140.99,140.99,140.97,140.97,2500.0,-0.000141854032201,,,,0
2017-03-23 22:45:00,140.96,140.98,140.96,140.98,1000.0,7.0937078811e-05,,,,0
2017-03-23 23:00:00,140.96,140.96,140.96,140.96,350.0,-0.000141864094198,,,,0
2017-03-23 23:05:00,140.96,140.99,140.96,140.99,578.0,0.000212826333712,,,,0
2017-03-23 23:15:00,140.99,140.99,140.96,140.96,342.0,-0.000212781048301,,,,0
2017-03-23 23:20:00,140.96,140.96,140.96,140.96,1442.0,0.0,140.955555556,,,0
2017-03-23 23:25:00,140.99,140.99,140.96,140.96,1050.0,0.0,140.956444444,6.30616427544e-06,,0
2017-03-23 23:30:00,140.96,140.96,140.96,140.96,450.0,0.0,140.957155556,5.04489960651e-06,,0
2017-03-23 23:35:00,140.99,141.0,140.99,141.0,500.0,0.000283768444949,140.965724444,6.0790733575e-05,,0
2017-03-23 23:40:00,141.0,141.0,141.0,141.0,225.0,0.0,140.972579556,4.86296306292e-05,,0
2017-03-23 23:45:00,140.96,140.96,140.96,140.96,240.0,-0.000283687943262,140.970063644,-1.78468119052e-05,,0
2017-03-23 23:50:00,141.0,141.04,140.93,140.93,975.0,-0.000212826333712,140.962050916,-5.68399324066e-05,,0
2017-03-23 23:55:00,140.93,140.93,140.93,140.93,300.0,0.0,140.955640732,-4.54745306945e-05,,0
2017-03-24 00:00:00,140.93,141.0,140.93,141.0,1782.0,0.000496700489605,140.964512586,6.29407483448e-05,,0
2017-03-24 08:40:00,141.07,141.14,141.07,141.14,400.0,0.000992907801418,140.999610069,0.00024898098227,,0
