Date,Close,High,Low,Open,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-11 09:35:00,5.68,5.68,5.68,5.68,100.0,-0.0533333333333,0,0,5.63,1,5.71858749573,-0.00168409204472,5.680965,0.0,0,0,1,568.0,568.0,100.0,5.68,1,0,0,1,0.0,0,0.0,20170421 14:04:17
2017-04-11 09:40:00,5.675,5.68,5.675,5.68,200.0,-0.000880281690141,0,0,5.6596,1,5.70986999658,-0.00152441475317,5.68039690476,0.0,0,0,1,1135.33333333,1703.33333333,300.0,5.67777777778,1,0,0,1,0.0,0,0.0,20170421 14:04:17
2017-04-11 11:10:00,5.71,5.71,5.71,5.71,200.0,0.00616740088106,1,1,5.675,1,5.70989599727,4.553638417e-06,5.68321624717,0.0,1,0,1,1142.0,2845.33333333,500.0,5.69066666667,1,0,0,1,0.0,0,0.0,20170421 14:04:17
2017-04-11 11:25:00,5.72,5.72,5.72,5.72,1400.0,0.00175131348511,1,1,5.675,1,5.71191679781,0.000353911971017,5.68671946172,0.0,0,0,1,8008.0,10853.3333333,1900.0,5.71228070175,-1,0,0,1,0.0,0,0.0,20170421 14:04:17
2017-04-11 12:00:00,5.73,5.73,5.73,5.73,100.0,0.00174825174825,1,1,5.701,1,5.71553343825,0.000633174565628,5.69084141775,0.0,0,0,1,573.0,11426.3333333,2000.0,5.71316666667,1,0,0,1,0.0,0,0.0,20170421 14:04:17
2017-04-11 12:45:00,5.55,5.652,5.55,5.651,954.0,-0.0314136125654,0,0,6.0,-1,5.6824267506,-0.00579240555721,5.67742794939,0.0,0,0,1,5327.136,16753.4693333,2954.0,5.67145204243,1,0,0,1,0.0,0,0.0,20170421 14:04:17
2017-04-11 13:00:00,5.59,5.59,5.59,5.59,100.0,0.00720720720721,1,1,5.982,-1,5.66394140048,-0.00325307319063,5.66910147802,-1.0,1,0,0,559.0,17312.4693333,3054.0,5.66878498145,-1,0,0,1,0.0,0,0.0,20170421 14:04:17
2017-04-11 13:35:00,5.59,5.772,5.59,5.772,600.0,0.0,0,0,5.96472,-1,5.64915312038,-0.00261095217101,5.66156800392,0.0,0,0,0,3390.4,20702.8693333,3654.0,5.66580988871,-1,0,0,1,0.0,0,0.0,20170421 14:04:17
2017-04-11 13:40:00,5.77,5.77,5.77,5.77,1000.0,0.0322003577818,1,1,5.9481312,-1,5.67332249631,0.00427840694138,5.67189486069,1.0,1,1,1,5770.0,26472.8693333,4654.0,5.68819710643,-1,1,1,1,5.77,0,0.0,20170421 14:04:17
2017-04-11 14:20:00,5.7599,5.7599,5.7599,5.7599,400.0,-0.00175043327556,0,0,5.932205952,-1,5.69063799705,0.00305209174162,5.68027630253,0.0,0,1,1,2303.96,28776.8293333,5054.0,5.69387204854,-1,0,1,1,5.7599,0,0.0,20170421 14:04:17
2017-04-11 15:20:00,5.71,5.724,5.71,5.724,200.0,-0.00866334484974,0,0,5.91691771392,-1,5.69451039764,0.000680486193784,5.68310713086,0.0,0,0,1,1142.93333333,29919.7626667,5254.0,5.69466362137,-1,0,1,1,5.71,0,0.0,20170421 14:04:17
2017-04-11 15:35:00,5.57,5.61,5.55,5.61,1695.0,-0.0245183887916,0,0,5.90224100536,-1,5.66960831811,-0.00437299746396,5.67233502316,-1.0,0,0,0,9452.45,39372.2126667,6949.0,5.66588180554,1,0,1,1,5.57,0,0.0,20170421 14:04:17
2017-04-11 15:45:00,5.68,5.68,5.68,5.68,5000.0,0.0197486535009,1,1,5.88815136515,-1,5.67168665449,0.000366574948657,5.67306502095,0.0,1,0,0,28400.0,67772.2126667,11949.0,5.67178949424,-1,0,1,1,5.68,0,0.0,20170421 14:04:17
2017-04-12 09:35:00,5.83,6.35,5.74,5.78,21637.0,0.0264084507042,1,1,5.55,1,5.70334932359,0.00558258434066,5.68801120944,1.0,1,1,1,129245.013333,197017.226,33586.0,5.86605210504,-1,1,1,1,5.83,0,0.0,20170421 14:04:17
2017-04-12 09:40:00,5.89,5.91,5.6,5.8199,24265.0,0.0102915951973,1,1,5.582,1,5.74067945887,0.00654530051799,5.70724823711,0.0,1,1,1,140737.0,337754.226,57851.0,5.83834723687,-1,0,1,1,5.89,0,0.0,20170421 14:04:17
2017-04-12 09:45:00,5.6505,5.9,5.6505,5.75,21493.0,-0.040662139219,0,0,5.6,1,5.7226435671,-0.0031417695246,5.7018436431,0.0,0,0,1,123233.697667,460987.923667,79344.0,5.8099909718,-1,0,1,1,5.6505,0,0.0,20170421 14:04:17
2017-04-12 09:50:00,5.51,5.63,5.51,5.6001,3400.0,-0.0248650561897,0,0,6.35,-1,5.68011485368,-0.00743165512947,5.68357281995,-1.0,0,0,0,18870.0,479857.923667,82744.0,5.79930778868,-1,0,1,1,5.51,0,0.0,20170421 14:04:17
2017-04-12 10:00:00,5.51,5.53,5.51,5.53,1506.0,0.0,0,0,6.3164,-1,5.64609188294,-0.00598983851772,5.66704207519,0.0,0,0,0,8308.1,488166.023667,84250.0,5.79425547379,-1,0,1,1,5.51,0,0.0,20170421 14:04:17
2017-04-12 10:05:00,5.5101,5.5812,5.51,5.51,1225.0,1.81488203268e-05,0,0,6.284144,-1,5.61889350635,-0.00481720403288,5.65209521089,0.0,0,0,0,6778.86416667,494944.887833,85475.0,5.79052223262,-1,0,1,1,5.5101,0,0.0,20170421 14:04:17
2017-04-12 10:10:00,5.46,5.56,5.46,5.56,4800.0,-0.00909239396744,0,0,6.25317824,-1,5.58711480508,-0.00565568669968,5.6338004289,0.0,0,0,0,26368.0,521312.887833,90275.0,5.77472044124,-1,0,1,1,5.46,0,0.0,20170421 14:04:17
2017-04-12 10:15:00,5.3,5.4672,5.3,5.4582,3600.0,-0.029304029304,0,0,6.1897239808,-1,5.52969184407,-0.0102777485375,5.60200991186,0.0,0,0,0,19280.64,540593.527833,93875.0,5.75865275988,-1,0,1,1,5.3,0,0.0,20170421 14:04:17
2017-04-12 10:20:00,5.35,5.5109,5.35,5.3501,11300.0,0.00943396226415,1,1,6.0829571031,-1,5.49375347525,-0.00649916303236,5.57800896787,0.0,1,0,0,61061.0566667,601654.5845,105175.0,5.72050947944,-1,0,1,1,5.35,0,0.0,20170421 14:04:17
2017-04-12 10:25:00,5.33,5.37,5.33,5.37,1600.0,-0.00373831775701,0,0,5.98900225073,-1,5.4610027802,-0.00596144242696,5.55438906617,0.0,0,0,0,8549.33333333,610203.917833,106775.0,5.71485757746,-1,0,1,1,5.33,0,0.0,20170421 14:04:17
2017-04-12 10:30:00,5.3962,5.41,5.31,5.38,26650.0,0.0124202626642,1,1,5.90632198064,-1,5.44804222416,-0.00237329233516,5.53932344082,0.0,1,0,0,143165.576667,753369.4945,133425.0,5.6463893161,-1,0,1,1,5.3962,0,0.0,20170421 14:04:17
2017-04-12 10:35:00,5.3101,5.484,5.3,5.4,19875.0,-0.0159556725103,0,0,5.83356334297,-1,5.42045377933,-0.00506391905519,5.51749263693,0.0,0,0,0,106623.4125,859992.907,153300.0,5.6098689302,-1,0,1,1,5.3101,0,0.0,20170421 14:04:17
2017-04-12 10:40:00,5.25,5.2815,5.25,5.28,2550.0,-0.0113180542739,0,0,5.76953574181,-1,5.38636302346,-0.0062892807971,5.4920171477,0.0,0,0,0,13414.275,873407.182,155850.0,5.60415259544,-1,0,1,1,5.25,0,0.0,20170421 14:04:17
2017-04-12 10:45:00,5.324,5.324,5.324,5.324,3000.0,0.0140952380952,1,1,5.68641002312,-1,5.37389041877,-0.00231558932037,5.47601551459,0.0,1,0,0,15972.0,889379.182,158850.0,5.59886170601,-1,0,1,1,5.324,0,0.0,20170421 14:04:17
2017-04-12 10:50:00,5.26,5.3213,5.26,5.269,8800.0,-0.0120210368144,0,0,5.61658441942,-1,5.35111233502,-0.00423865802597,5.45544260844,0.0,0,0,0,46467.8133333,935846.995333,167650.0,5.58214730291,-1,0,1,1,5.26,0,0.0,20170421 14:04:17
2017-04-12 10:55:00,5.331,5.3999,5.25,5.25,13100.0,0.0134980988593,1,1,5.55793091231,-1,5.34708986801,-0.000751706701621,5.44359093144,0.0,1,0,0,69783.2633333,1005630.25867,180750.0,5.56365288336,-1,0,1,1,5.331,0,0.0,20170421 14:04:17
2017-04-12 11:00:00,5.2701,5.322,5.27,5.271,8836.0,-0.0114237478897,0,0,5.50866196634,-1,5.33169189441,-0.0028796923154,5.42706798559,0.0,0,0,0,46719.1718667,1052349.43053,189586.0,5.55077606223,-1,0,1,1,5.2701,0,0.0,20170421 14:04:17
2017-04-12 11:05:00,5.25,5.298,5.25,5.271,2228.0,-0.0038139693744,0,0,5.46727605173,-1,5.31535351553,-0.00306438916684,5.41020436791,0.0,0,0,0,11732.648,1064082.07853,191814.0,5.54746826891,-1,0,1,1,5.25,0,0.0,20170421 14:04:17
2017-04-12 11:10:00,5.28,5.28,5.2185,5.257,9356.0,0.00571428571429,1,1,5.43251188345,-1,5.30828281242,-0.00133024136307,5.39780395192,0.0,1,0,0,49207.882,1113289.96053,201170.0,5.53407546122,-1,0,1,1,5.28,0,0.0,20170421 14:04:17
2017-04-12 11:15:00,5.25,5.25,5.25,5.25,5500.0,-0.00568181818182,0,0,5.38970950676,-1,5.29662624994,-0.0021959196404,5.38372738507,0.0,0,0,0,28875.0,1142164.96053,206670.0,5.52651551039,-1,0,1,1,5.25,0,0.0,20170421 14:04:17
2017-04-12 11:20:00,5.1203,5.15,5.1203,5.15,6040.0,-0.0247047619048,0,0,5.35546760541,-1,5.26136099995,-0.00665805898388,5.35863906269,0.0,0,0,0,30986.408,1173151.36853,212710.0,5.515261946,-1,0,1,1,5.1203,0,0.0,20170421 14:04:17
2017-04-12 11:35:00,5.2287,5.35,5.2287,5.35,12500.0,0.0211706345331,1,1,5.1203,1,5.25482879996,-0.00124154187295,5.34626391386,0.0,1,0,0,65864.1666667,1239015.5352,225210.0,5.50160088451,-1,0,1,1,5.2287,0,0.0,20170421 14:04:17
2017-04-12 11:40:00,5.25,5.25,5.16,5.211,22924.0,0.00407367031958,1,1,5.1203,1,5.25386303997,-0.000183785243795,5.33709592206,0.0,1,0,0,119663.28,1358678.8152,248134.0,5.47558502744,-1,0,1,1,5.25,0,0.0,20170421 14:04:17
2017-04-12 11:50:00,5.2389,5.2389,5.2389,5.2389,100.0,-0.00211428571429,0,0,5.129488,1,5.25087043197,-0.000569601447719,5.32774392948,0.0,0,0,0,523.89,1359202.7052,248234.0,5.4754896799,-1,0,1,1,5.2389,0,0.0,20170421 14:04:17
2017-04-12 11:55:00,5.2501,5.2501,5.17,5.18,2100.0,0.00213785336616,1,1,5.13830848,1,5.25071634558,-2.93449242258e-05,5.32034926953,0.0,0,0,0,10969.14,1370171.8452,250334.0,5.47337495186,-1,0,1,1,5.2501,0,0.0,20170421 14:04:17
2017-04-12 12:00:00,5.16,5.16,5.16,5.16,200.0,-0.0171615778747,0,0,5.1467761408,1,5.23257307646,-0.00345538930726,5.30507791053,0.0,0,0,0,1032.0,1371203.8452,250534.0,5.47312478626,-1,0,1,1,5.16,0,0.0,20170421 14:04:17
2017-04-12 12:05:00,5.19,5.2,5.19,5.2,700.0,0.00581395348837,1,1,5.15490509517,1,5.22405846117,-0.00162723294416,5.29411810953,0.0,1,0,0,3635.33333333,1374839.17853,251234.0,5.47234521814,-1,0,1,1,5.19,0,0.0,20170421 14:04:17
2017-04-12 12:10:00,5.2,5.2,5.2,5.2,200.0,0.0019267822736,1,1,5.16,1,5.21924676894,-0.000921064009903,5.28515448005,0.0,0,0,0,1040.0,1375879.17853,251434.0,5.47212858457,-1,0,1,1,5.2,0,0.0,20170421 14:04:17
2017-04-12 12:20:00,5.2168,5.2168,5.2168,5.2168,580.0,0.00323076923077,1,1,5.1676,1,5.21875741515,-9.37594655004e-05,5.27864452957,0.0,1,0,0,3025.744,1378904.92253,252014.0,5.47154095619,-1,0,1,1,5.2168,0,0.0,20170421 14:04:17
2017-04-12 12:40:00,5.2,5.2,5.2,5.2,100.0,-0.0032203649747,0,0,5.174896,1,5.21500593212,-0.00071884602626,5.27115457437,0.0,0,0,0,520.0,1379424.92253,252114.0,5.47143325057,-1,0,1,1,5.2,0,0.0,20170421 14:04:17
2017-04-12 12:45:00,5.22,5.22,5.22,5.22,100.0,0.00384615384615,1,1,5.18190016,1,5.2160047457,0.000191526834117,5.26628271015,0.0,1,0,0,522.0,1379946.92253,252214.0,5.47133356012,-1,0,1,1,5.22,0,0.0,20170421 14:04:17
2017-04-12 12:50:00,5.2882,5.2882,5.24,5.24,2100.0,0.0130651340996,1,1,5.1886241536,1,5.23044379656,0.0027682204225,5.26837007108,0.0,1,1,0,11071.48,1391018.40253,254314.0,5.46968866257,-1,0,1,1,5.2882,0,0.0,20170421 14:04:17
2017-04-12 12:55:00,5.3499,5.3499,5.3,5.332,1420.0,0.0116674861011,1,1,5.19507918746,1,5.25433503725,0.00456772725565,5.27613482622,0.0,1,1,0,7573.23866667,1398591.6412,255734.0,5.46893115972,-1,0,1,1,5.3499,0,0.0,20170421 14:04:17
2017-04-12 13:10:00,5.29,5.3,5.29,5.3,1800.0,-0.0111964709621,0,0,5.20127601996,1,5.2614680298,0.00135754429445,5.27745531896,0.0,0,1,0,9528.0,1408119.6412,257534.0,5.46770384182,-1,0,1,1,5.29,0,0.0,20170421 14:04:17
2017-04-12 13:25:00,5.35,5.35,5.212,5.212,941.0,0.0113421550095,1,1,5.20722497916,1,5.27917442384,0.00336529537773,5.2843643362,0.0,1,1,0,4991.064,1413110.7052,258475.0,5.4671078642,-1,0,1,1,5.35,0,0.0,20170421 14:04:17
2017-04-12 13:40:00,5.207,5.21,5.201,5.201,800.0,-0.0267289719626,0,0,5.35,-1,5.26473953907,-0.00273430722467,5.27699630418,0.0,0,0,0,4164.8,1417275.5052,259275.0,5.46630220885,-1,0,1,1,5.207,0,0.0,20170421 14:04:17
2017-04-12 14:10:00,5.2237,5.2237,5.16,5.21,10350.0,0.00320722104859,1,1,5.35,-1,5.25653163126,-0.00155903397557,5.27192046569,0.0,1,0,0,53845.53,1471121.0352,269625.0,5.45617444673,-1,0,1,1,5.2237,0,0.0,20170421 14:04:17
2017-04-12 14:20:00,5.24,5.24,5.23,5.23,400.0,0.00312039359075,1,1,5.3348,-1,5.253225305,-0.000628993884764,5.26888042134,0.0,1,0,0,2094.66666667,1473215.70187,270025.0,5.45584928013,-1,0,1,1,5.24,0,0.0,20170421 14:04:17
2017-04-12 14:25:00,5.21,5.2301,5.21,5.2301,1860.0,-0.00572519083969,0,0,5.320816,-1,5.244580244,-0.00164566728038,5.26327276216,0.0,0,0,0,9703.062,1482918.76387,271885.0,5.45421322937,-1,0,1,1,5.21,0,0.0,20170421 14:04:17
2017-04-12 14:30:00,5.21,5.21,5.21,5.21,200.0,0.0,0,0,5.30795072,-1,5.2376641952,-0.00131870397228,5.25819916577,0.0,0,0,0,1042.0,1483960.76387,272085.0,5.45403371691,-1,0,1,1,5.21,0,0.0,20170421 14:04:17
2017-04-12 14:35:00,5.21,5.21,5.208,5.208,200.0,0.0,0,0,5.2961146624,-1,5.23213135616,-0.00105635619894,5.25360876903,0.0,0,0,0,1041.86666667,1485002.63053,272285.0,5.45385397849,-1,0,1,1,5.21,0,0.0,20170421 14:04:17
2017-04-12 14:40:00,5.21,5.3032,5.21,5.3032,400.0,0.0,0,0,5.16,1,5.22770508493,-0.000845978613906,5.24945555293,0.0,0,0,0,2096.42666667,1487099.0572,272685.0,5.45354184205,-1,0,1,1,5.21,0,0.0,20170421 14:04:17
2017-04-12 14:45:00,5.3,5.3,5.3,5.3,800.0,0.0172744721689,1,1,5.165728,1,5.24216406794,0.00276583754805,5.25426930979,0.0,1,1,0,4240.0,1491339.0572,273485.0,5.45309270051,-1,0,1,1,5.3,0,0.0,20170421 14:04:17
2017-04-12 14:50:00,5.2099,5.2099,5.2099,5.2099,100.0,-0.017,0,0,5.17122688,1,5.23571125436,-0.00123094460706,5.25004366124,0.0,0,0,0,520.99,1491860.0472,273585.0,5.45300380942,-1,0,1,1,5.2099,0,0.0,20170421 14:04:17
2017-04-12 15:00:00,5.215,5.215,5.21,5.21,400.0,0.000978905545212,0,0,5.1765058048,1,5.23156900348,-0.000791153421147,5.24670616969,0.0,0,0,0,2085.33333333,1493945.38053,273985.0,5.45265390636,-1,0,1,1,5.215,0,0.0,20170421 14:04:17
2017-04-12 15:05:00,5.2599,5.2599,5.2599,5.2599,3500.0,0.00860977948226,1,1,5.18157357261,1,5.23723520279,0.00108307838421,5.24796272496,0.0,1,1,0,18409.65,1512355.03053,277485.0,5.45022264459,-1,0,1,1,5.2599,0,0.0,20170421 14:04:17
2017-04-12 15:15:00,5.21,5.2268,5.21,5.2268,200.0,-0.009486872374,0,0,5.1864386297,1,5.23178816223,-0.00104006032697,5.24434722735,0.0,0,0,0,1043.12,1513398.15053,277685.0,5.45005365984,-1,0,1,1,5.21,0,0.0,20170421 14:04:17
2017-04-12 15:20:00,5.2,5.2599,5.2,5.2599,2784.0,-0.00191938579655,0,0,5.19110908452,1,5.22543052978,-0.00121519301792,5.24012368188,0.0,0,0,0,14532.3872,1527930.53773,280469.0,5.44776976327,-1,0,1,1,5.2,0,0.0,20170421 14:04:17
2017-04-12 15:25:00,5.18,5.18,5.17,5.17,1700.0,-0.00384615384615,0,0,5.3032,-1,5.21634442383,-0.0017388243715,5.23439761694,0.0,0,0,0,8800.33333333,1536730.87107,282169.0,5.44613643266,-1,0,1,1,5.18,0,0.0,20170421 14:04:17
2017-04-12 15:30:00,5.2365,5.2365,5.2,5.2,500.0,0.0109073359073,1,1,5.297872,-1,5.22037553906,0.000772785480991,5.2345978439,0.0,1,0,0,2612.16666667,1539343.03773,282669.0,5.44574409551,-1,0,1,1,5.2365,0,0.0,20170421 14:04:17
2017-04-12 15:35:00,5.21,5.21,5.2,5.21,4224.0,-0.00506063210159,0,0,5.29275712,-1,5.21830043125,-0.000397501635046,5.2322551921,0.0,0,0,0,21992.96,1561335.99773,286893.0,5.44222409656,-1,0,1,1,5.21,0,0.0,20170421 14:04:17
2017-04-12 15:40:00,5.1601,5.17,5.16,5.17,3300.0,-0.00957773512476,0,0,5.2878468352,-1,5.206660345,-0.00223062784583,5.22538326904,0.0,0,0,0,17039.11,1578375.10773,290193.0,5.43905300174,-1,0,1,1,5.1601,0,0.0,20170421 14:04:17
2017-04-12 15:45:00,5.19,5.19,5.18,5.19,2876.0,0.00579446134765,1,1,5.27761908838,-1,5.203328276,-0.000639962812841,5.2220134339,0.0,1,0,0,14916.8533333,1593291.96107,293069.0,5.43657623654,-1,0,1,1,5.19,0,0.0,20170421 14:04:17
2017-04-12 15:50:00,5.19,5.19,5.19,5.19,556.0,0.0,0,0,5.26820956131,-1,5.2006626208,-0.000512298102007,5.21896453543,0.0,0,0,0,2885.64,1596177.60107,293625.0,5.43610932675,-1,0,1,1,5.19,0,0.0,20170421 14:04:17
2017-04-12 15:55:00,5.25,5.26,5.18,5.19,1232.0,0.0115606936416,1,1,5.16,1,5.21053009664,0.00189734973398,5.22192029396,0.0,1,1,0,6443.36,1602620.96107,294857.0,5.43524814085,-1,0,1,1,5.25,0,0.0,20170421 14:04:17
2017-04-12 16:00:00,5.33,5.3399,5.19,5.19,3100.0,0.0152380952381,1,1,5.164,1,5.23442407731,0.00458571013484,5.2322135993,1.0,1,1,1,16388.5633333,1619009.5244,297957.0,5.43370192477,-1,1,1,1,5.33,0,0.0,20170421 14:04:17
2017-04-13 09:05:00,2.99,5.23,2.91,5.23,45796.0,-0.439024390244,0,0,5.3399,-1,4.78553926185,-0.0857562950255,5.01866944698,-1.0,0,0,0,169903.16,1788912.6844,343753.0,5.20406421006,-1,0,1,1,2.99,0,0.0,20170421 14:04:17
2017-04-13 09:10:00,3.0,3.0,2.82,2.96,65944.0,0.00334448160535,1,1,5.3399,-1,4.42843140948,-0.0746222803388,4.82641521394,0.0,1,0,0,193875.36,1982788.0444,409697.0,4.83964501668,-1,0,1,1,3.0,0,0.0,20170421 14:04:17
2017-04-13 09:15:00,2.95,2.95,2.78,2.83,32009.0,-0.0166666666667,0,0,5.23,-1,4.13274512758,-0.0667699811863,4.64770900309,0.0,0,0,0,92612.7066667,2075400.75107,441706.0,4.6986021269,-1,0,1,1,2.95,0,0.0,20170421 14:04:17
