,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-01 09:35:00,254.0,254.85,253.22,254.337,423300.0,0.0173886955478,249.829397837,0.00453111871851,248.79187,0.0,1.0,1.0,1.0,107575627.7,107575627.7,423300.0,254.135666667,-1.0,0.0,0.0,1.0,0.0
2017-03-01 09:40:00,254.337,254.337,253.01,253.8032,146500.0,-0.00209879018782,250.624158269,0.0031812126177,249.269139524,0.0,0.0,1.0,1.0,37169501.4333,144745129.133,569800.0,254.027955657,-1.0,0.0,0.0,1.0,0.0
2017-03-01 09:45:00,253.7997,253.88,252.01,252.1,123400.0,-0.00671071129127,250.919326615,0.00117773301734,249.538745283,0.0,0.0,1.0,1.0,31178655.3333,175923784.467,693200.0,253.78503241,-1.0,0.0,0.0,1.0,0.0
2017-03-01 09:50:00,252.12,252.765,251.76,251.97,163100.0,-0.000515668385561,251.129461292,0.000837459113823,249.770293352,0.0,0.0,0.0,1.0,41128111.5,217051895.967,856300.0,253.476463817,-1.0,0.0,0.0,1.0,0.0
2017-03-01 09:55:00,251.9525,252.41,251.65,251.81,77500.0,-0.00063499622971,251.265569034,0.000541982373659,249.964551128,0.0,0.0,0.0,1.0,19526641.6667,236578537.633,933800.0,253.350329442,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:00:00,251.8,253.0,251.61,252.5,99200.0,0.00274016123268,251.512455227,0.000982570728535,250.206022449,0.0,0.0,0.0,1.0,25035104.0,261613641.633,1033000.0,253.256187448,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:05:00,252.5,253.65,252.4151,253.25,84900.0,0.0029702970297,251.859964182,0.00138167692039,250.495925073,0.0,0.0,1.0,1.0,21488617.33,283102258.963,1117900.0,253.244707902,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:10:00,253.06,253.33,252.61,252.8,72400.0,-0.00177690029615,252.047971345,0.000746474987688,250.71536078,0.0,0.0,0.0,1.0,18310925.3333,301413184.297,1190300.0,253.224552043,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:15:00,252.8,252.9799,252.31,252.48,71900.0,-0.00126582278481,252.134377076,0.000342814625597,250.883421658,0.0,0.0,0.0,1.0,18161218.6033,319574402.9,1262200.0,253.188403502,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:20:00,252.58,252.73,252.1301,252.2699,53200.0,-0.000832145120406,252.161481661,0.000107500552118,251.015467215,0.0,0.0,0.0,1.0,13426438.6667,333000841.567,1315400.0,253.15557364,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:25:00,252.1997,252.39,251.72,251.8699,60400.0,-0.00158560335577,252.103165329,-0.000231265821493,251.096841766,0.0,0.0,0.0,1.0,15220395.32,348221236.887,1375800.0,253.104547817,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:30:00,251.8699,252.05,251.45,252.05,64600.0,0.00071505169931,252.092532263,-4.21774385509e-05,251.18761874,0.0,0.0,0.0,1.0,16269510.0,364490746.887,1440400.0,253.048283037,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:35:00,252.01,252.25,251.81,252.06,48000.0,3.96746677247e-05,252.08602581,-2.5809779262e-05,251.27070267,0.0,0.0,0.0,1.0,12097920.0,376588666.887,1488400.0,253.015766519,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:40:00,252.05,252.2,251.8,251.97,43400.0,-0.000357057843371,252.062820648,-9.20525523557e-05,251.337302416,0.0,0.0,0.0,1.0,10936366.0,387525032.887,1531800.0,252.986703804,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:45:00,251.97,252.08,251.4,251.4,54000.0,-0.00226217406834,251.930256519,-0.000525917028661,251.343273614,0.0,0.0,0.0,1.0,13587840.0,401112872.887,1585800.0,252.940391529,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:50:00,251.4,251.495,250.94,250.94,88900.0,-0.00182975338107,251.732205215,-0.000786135442697,251.304866603,0.0,0.0,0.0,1.0,22325012.5,423437885.387,1674700.0,252.844023041,-1.0,0.0,0.0,1.0,0.0
2017-03-01 10:55:00,250.9855,251.08,250.2501,250.45,73600.0,-0.0019526580059,251.475764172,-0.00101870574236,251.223450736,0.0,0.0,0.0,1.0,18443671.7867,441881557.173,1748300.0,252.749274823,-1.0,0.0,0.0,1.0,0.0
2017-03-01 11:00:00,250.45,250.69,249.99,250.2708,147900.0,-0.000715512078259,251.234771338,-0.000958314353613,251.132722095,0.0,0.0,0.0,1.0,37021874.44,478903431.613,1896200.0,252.559556805,-1.0,0.0,0.0,1.0,0.0
2017-03-01 11:05:00,250.24,250.53,249.11,249.43,174900.0,-0.00335956092361,250.87381707,-0.0014367209825,250.970558086,-1.0,0.0,0.0,0.0,43670781.0,522574212.613,2071100.0,252.317228822,-1.0,0.0,0.0,1.0,0.0
2017-03-01 11:10:00,249.43,250.93,249.33,250.6724,134300.0,0.004980956581,250.833533656,-0.000160572412383,250.942162077,0.0,1.0,0.0,0.0,33616740.44,556190953.053,2205400.0,252.195045367,-1.0,0.0,0.0,1.0,0.0
