,Close,High,Low,Open,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-18 09:50:00,1.565,1.565,1.565,1.565,10320.0,,,,,0,0.0,0.0,0.0,16150.8,57518.9533333,36677.0,1.568256764,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 09:50:07
2017-04-18 09:55:00,1.555,1.565,1.555,1.565,39354.0,-0.00638977635783,,,,0,0.0,0.0,0.0,61326.65,118845.603333,76031.0,1.56312035003,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 09:55:05
2017-04-18 10:00:00,1.535,1.555,1.535,1.555,46185.0,-0.0128617363344,,,,0,0.0,0.0,0.0,71201.875,190047.478333,122216.0,1.55501307794,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:00:02
2017-04-18 10:05:00,1.535,1.535,1.535,1.535,23898.0,0.0,,,,0,0.0,0.0,0.0,36683.43,226730.908333,146114.0,1.5517397945,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:05:03
2017-04-18 10:10:00,1.535,1.535,1.535,1.535,2659.0,0.0,,,,0,0.0,0.0,0.0,4081.565,230812.473333,148773.0,1.55144060638,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:10:00
2017-04-18 10:15:00,1.535,1.535,1.535,1.535,4500.0,0.0,,,,0,0.0,0.0,0.0,6907.5,237719.973333,153273.0,1.5509579204,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:15:00
2017-04-18 10:20:00,1.515,1.535,1.515,1.535,42410.0,-0.0130293159609,,,,0,0.0,0.0,0.0,64533.8833333,302253.856667,195683.0,1.54460968335,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:20:02
2017-04-18 10:25:00,1.515,1.515,1.515,1.515,5384.0,0.0,,,,0,0.0,0.0,0.0,8156.76,310410.616667,201067.0,1.5438168206,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:25:06
2017-04-18 10:30:00,1.515,1.515,1.515,1.515,37668.0,0.0,1.53388888889,,,0,0.0,0.0,0.0,57067.02,367477.636667,238735.0,1.53927005536,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:30:04
2017-04-18 10:35:00,1.515,1.515,1.515,1.515,10480.0,0.0,1.53011111111,-0.00246287576965,,0,0.0,0.0,0.0,15877.2,383354.836667,249215.0,1.53824944994,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:35:07
2017-04-18 10:40:00,1.525,1.525,1.515,1.515,38637.0,0.00660066006601,1.52908888889,-0.000668070583109,,0,1.0,0.0,0.0,58792.635,442147.471667,287852.0,1.53602362209,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:40:00
2017-04-18 10:45:00,1.525,1.525,1.525,1.525,1001.0,0.0,1.52827111111,-0.000534813759828,,0,0.0,0.0,0.0,1526.525,443673.996667,288853.0,1.5359854205,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:45:04
2017-04-18 10:50:00,1.525,1.525,1.525,1.525,12772.0,0.0,1.52761688889,-0.00042807995091,,0,0.0,0.0,0.0,19477.3,463151.296667,301625.0,1.53552025418,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:50:05
2017-04-18 10:55:00,1.515,1.525,1.515,1.525,12220.0,-0.00655737704918,1.52509351111,-0.00165183940825,,0,0.0,0.0,0.0,18554.0333333,481705.33,313845.0,1.53485105705,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 10:55:05
2017-04-18 11:00:00,1.515,1.515,1.515,1.515,3160.0,0.0,1.52307480889,-0.00132365799704,,0,0.0,0.0,0.0,4787.4,486492.73,317005.0,1.53465317582,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 11:00:03
2017-04-18 11:05:00,1.515,1.515,1.515,1.515,17992.0,0.0,1.52145984711,-0.0010603299118,,0,0.0,0.0,0.0,27257.88,513750.61,334997.0,1.53359764416,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 11:05:02
2017-04-18 11:10:00,1.515,1.515,1.515,1.515,89876.0,0.0,1.52016787769,-0.000849164323775,,0,0.0,0.0,0.0,136162.14,649912.75,424873.0,1.52966357006,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 11:10:07
2017-04-18 11:15:00,1.475,1.515,1.445,1.515,164149.0,-0.026402640264,1.51113430215,-0.00594248547832,,0,0.0,0.0,0.0,242666.938333,892579.688333,589022.0,1.51535882927,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,20170418 11:15:10
2017-04-18 14:15:00,1.505,1.505,1.505,1.505,1604.0,0.0203389830508,1.50990744172,-0.000811880471826,,0,,,,,,,,,,,,,,,
