Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-13 09:35:00,16.11,16.13,15.79,15.88,18651.0,18651.0,-0.0075,15.9597832144,-0.00124819410714,15.9415,0.0,0,0,1,297172.6,297172.6,15.9333333333,1,0,0,1,0
2017-03-13 09:40:00,15.9,15.93,15.87,15.93,6000.0,24651.0,0.00314861460957,15.9538265715,-0.000373228307374,15.9404047619,0.0,1,0,1,95460.0,392632.6,15.9276540505,1,0,0,1,0
2017-03-13 09:45:00,15.95,16.0299,15.92,15.965,20589.0,45240.0,0.0021971123666,15.9560612572,0.000140072081757,15.9427471655,0.0,0,0,1,328839.9587,721472.5587,15.9476692905,1,0,0,1,0
2017-03-13 09:50:00,15.97,16.01,15.95,15.96,13200.0,58440.0,-0.00031318509239,15.9568490058,4.93698631008e-05,15.9443902926,0.0,0,0,1,210848.0,932320.5587,15.9534660969,1,0,0,1,0
2017-03-13 09:55:00,15.96,15.96,15.86,15.88,7198.0,65638.0,-0.00501253132832,15.9414792046,-0.000963210289609,15.9382578838,0.0,0,0,1,114448.2,1046768.7587,15.9476028931,-1,0,0,1,0
2017-03-13 10:00:00,15.87,15.8703,15.8,15.8,6650.0,72288.0,-0.00503778337531,15.9131833637,-0.00177498214303,15.9250904663,-1.0,0,0,0,105225.831667,1151994.59037,15.9361801456,-1,0,0,1,0
2017-03-13 10:05:00,15.79,15.83,15.74,15.83,11728.0,84016.0,0.00189873417722,15.8965466909,-0.00104546477955,15.9160342314,0.0,0,0,0,185302.4,1337296.99037,15.9171704243,-1,0,0,1,0
2017-03-13 10:10:00,15.83,15.87,15.83,15.86,3574.0,87590.0,0.00189513581807,15.8892373528,-0.000459806669459,15.9106976379,0.0,0,0,0,56659.8133333,1393956.8037,15.9145656319,-1,0,0,1,0
2017-03-13 10:15:00,15.89,15.997,15.89,15.99,8326.0,95916.0,0.00819672131148,15.9093898822,0.00126831319847,15.9182502439,0.0,1,1,0,132874.634,1526831.4377,15.9184227626,-1,0,0,1,0
2017-03-13 10:20:00,15.99,16.1,15.99,16.05,6802.0,102718.0,0.00375234521576,15.9375119058,0.00176763683376,15.9307978397,1.0,1,1,1,109149.426667,1635980.86437,15.9269150915,1,1,1,1,311
2017-03-13 10:25:00,16.051,16.13,16.04,16.095,20094.0,122812.0,0.00280373831776,15.9690095246,0.00197631970618,15.9464361407,0.0,0,1,1,323278.97,1959259.83437,15.9533256878,1,0,1,1,310
2017-03-13 10:30:00,16.14,16.2,16.14,16.15,4700.0,127512.0,0.00341721031376,16.0052076197,0.00226677146267,15.9658231749,0.0,1,1,1,75967.6666667,2035227.50103,15.9610664175,1,0,1,1,309
