,Close,High,Low,Open,Volume
2017-04-05 16:50:00,5.5,5.52,5.5,5.52,2000.0
2017-04-05 17:35:00,5.61,5.61,5.61,5.61,1000.0
2017-04-06 09:05:00,5.45,5.45,5.45,5.45,1000.0
2017-04-06 09:15:00,5.52,5.53,5.52,5.53,600.0
2017-04-06 09:25:00,5.53,5.53,5.53,5.53,3400.0
2017-04-06 09:35:00,5.6543,5.73,5.63,5.65,38517.0
2017-04-06 09:40:00,5.7162,5.72,5.6499,5.655,43432.0
2017-04-06 09:45:00,5.6769,5.74,5.6769,5.72,25438.0
2017-04-06 09:50:00,5.67,5.68,5.65,5.67,27700.0
2017-04-06 09:55:00,5.72,5.73,5.67,5.67,14338.0
2017-04-06 10:00:00,5.73,5.7393,5.71,5.73,62215.0
2017-04-06 10:05:00,5.7,5.7401,5.7,5.74,13376.0
2017-04-06 10:10:00,5.72,5.73,5.7,5.7,5550.0
2017-04-06 10:15:00,5.68,5.73,5.68,5.72,14051.0
2017-04-06 10:20:00,5.675,5.69,5.67,5.68,11286.0
2017-04-06 10:25:00,5.686,5.69,5.68,5.68,10500.0
2017-04-06 10:30:00,5.73,5.74,5.69,5.69,18308.0
2017-04-06 10:35:00,5.747,5.75,5.72,5.72,28449.0
2017-04-06 10:40:00,5.72,5.76,5.72,5.749,18871.0
2017-04-06 10:45:00,5.695,5.73,5.69,5.73,18238.0
2017-04-06 10:50:00,5.72,5.73,5.69,5.7,5300.0
2017-04-06 10:55:00,5.72,5.76,5.72,5.73,10305.0
2017-04-06 11:00:00,5.73,5.75,5.72,5.72,15536.0
2017-04-06 11:05:00,5.72,5.73,5.71,5.73,7310.0
2017-04-06 11:10:00,5.7106,5.72,5.71,5.71,3539.0
2017-04-06 11:15:00,5.725,5.73,5.71,5.71,6310.0
2017-04-06 11:20:00,5.71,5.72,5.71,5.72,4905.0
2017-04-06 11:25:00,5.74,5.74,5.71,5.71,7147.0
2017-04-06 11:30:00,5.72,5.74,5.72,5.74,4330.0
2017-04-06 11:35:00,5.73,5.73,5.72,5.72,2698.0
2017-04-06 11:40:00,5.73,5.76,5.72,5.7216,20592.0
2017-04-06 11:45:00,5.73,5.735,5.72,5.72,4179.0
2017-04-06 11:50:00,5.74,5.745,5.73,5.74,2900.0
2017-04-06 11:55:00,5.7416,5.75,5.74,5.75,2600.0
2017-04-06 12:00:00,5.75,5.75,5.74,5.7492,9049.0
2017-04-06 12:05:00,5.78,5.78,5.749,5.75,37247.0
2017-04-06 12:10:00,5.775,5.78,5.77,5.775,2000.0
2017-04-06 12:15:00,5.735,5.77,5.73,5.77,35058.0
2017-04-06 12:20:00,5.725,5.74,5.72,5.73,8300.0
2017-04-06 12:25:00,5.72,5.73,5.72,5.725,13800.0
2017-04-06 12:30:00,5.73,5.735,5.72,5.72,15748.0
2017-04-06 12:35:00,5.75,5.75,5.73,5.74,16130.0
2017-04-06 12:40:00,5.735,5.75,5.73,5.74,8392.0
2017-04-06 12:45:00,5.73,5.74,5.73,5.7301,4850.0
2017-04-06 12:50:00,5.73,5.74,5.73,5.74,2700.0
2017-04-06 12:55:00,5.74,5.74,5.73,5.74,8251.0
2017-04-06 13:00:00,5.73,5.74,5.73,5.73,5200.0
2017-04-06 13:05:00,5.75,5.75,5.73,5.74,13926.0
