,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,timestamp
2017-03-23 09:35:00,141.26,141.48,140.9,141.014,918590.0,-0.00188278595696,141.253013728,-0.000422845246633,141.3532,0.0,0,0,0,129641831.487,129641831.487,918590.0,141.131333333,1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 09:40:00,141.01,141.24,140.828,140.8857,577736.0,-0.000909838739416,141.179550982,-0.000520079137195,141.30867619,0.0,0,0,0,81451859.6077,211093691.094,1496326.0,141.074666279,1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 09:45:00,140.89,140.99,140.72,140.79,395105.0,-0.000679274049815,141.101640786,-0.000551851850091,141.259278458,0.0,0,0,0,55643954.1667,266737645.261,1891431.0,141.024253732,1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 09:50:00,140.79,140.9,140.64,140.8777,339877.0,0.000622913559202,141.056852628,-0.000317417691773,141.222937653,0.0,0,0,0,47856686.8743,314594332.135,2231308.0,140.990993684,1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 09:55:00,140.86,140.87,140.62,140.69,309213.0,-0.00133236133185,140.983482103,-0.000520148609101,141.172181686,0.0,0,0,0,43514514.78,358108846.915,2540521.0,140.958821799,1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 10:00:00,140.7,140.88,140.65,140.76,249587.0,0.000497547800128,140.938785682,-0.000317033030341,141.132926287,0.0,0,0,0,35132698.0767,393241544.992,2790108.0,140.941334526,-1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 10:05:00,140.7618,141.0886,140.76,140.976,340428.0,0.00153452685422,140.946228546,5.28091931309e-05,141.117980926,0.0,0,0,0,47980444.3096,441221989.302,3130536.0,140.941356145,1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 10:10:00,140.98,140.98,140.8,140.83,179432.0,-0.00103563727159,140.922982837,-0.000164926081369,141.090554171,0.0,0,0,0,25276585.84,466498575.142,3309968.0,140.937487958,-1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 10:15:00,140.835,140.8353,140.61,140.69,260527.0,-0.000994106369382,140.876386269,-0.000330652718161,141.052406155,0.0,0,0,0,36659214.4344,503157789.576,3570495.0,140.921017835,-1,0,0,1,0.0,0,20170324 07:43:28
2017-03-23 10:20:00,140.6835,140.805,140.66,140.78,190565.0,0.00063970431445,140.857109015,-0.000136838077491,141.026462712,0.0,0,0,0,26821706.1417,529979495.718,3761060.0,140.912268275,-1,0,0,1,0.0,0,20170324 07:43:28
