Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,timestamp
2017-03-16 09:35:00,8.76,8.8,8.76,8.77,23245.0,23245.0,0.00114155251142,8.76575090199,0.000121199342984,8.7575,0.0,0,0,1,204013.616667,204013.616667,8.77666666667,-1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 09:40:00,8.75,8.78,8.7,8.75,16707.0,39952.0,-0.00228050171038,8.76260072159,-0.00035937370714,8.75678571429,0.0,0,0,1,146074.87,350088.486667,8.76272743959,-1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 09:45:00,8.77,8.84,8.76,8.84,4006.0,43958.0,0.0102857142857,8.77808057727,0.0017665823394,8.76471088435,0.0,1,1,1,35306.2133333,385394.7,8.7673392784,1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 09:50:00,8.86,8.86,8.81,8.85,5714.0,49672.0,0.00113122171946,8.79246446182,0.00163861386541,8.77283365727,0.0,0,1,1,50511.76,435906.46,8.77569777742,1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 09:55:00,8.84,8.85,8.82,8.83,1107.0,50779.0,-0.00225988700565,8.79997156945,0.000853811541585,8.77827807087,0.0,0,0,1,9778.5,445684.96,8.77695425274,1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 10:00:00,8.83,8.83,8.76,8.76,9165.0,59944.0,-0.0079275198188,8.79197725556,-0.000908447695282,8.77653730221,0.0,0,0,1,80499.25,526184.21,8.7779295676,1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 10:05:00,8.77,8.85,8.75,8.8,35200.0,95144.0,0.00456621004566,8.79358180445,0.000182501482966,8.77877184486,0.0,1,0,1,309760.0,835944.21,8.78609486673,1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 10:10:00,8.8,8.88,8.76,8.87,20667.0,115811.0,0.00795454545455,8.80886544356,0.00173804479787,8.78746024059,0.0,1,1,1,182627.39,1018571.6,8.79511963458,1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 10:15:00,8.86,8.86,8.81,8.84,5008.0,120819.0,-0.00338218714769,8.81509235485,0.000706891407048,8.7924640272,0.0,0,0,1,44254.0266667,1062825.62667,8.79684177709,1,0,0,1,0.0,0,20170317 09:31:18
2017-03-16 10:20:00,8.83,8.8448,8.8,8.8028,6900.0,127719.0,-0.00420814479638,8.81263388388,-0.000278893387694,8.79344840556,0.0,0,0,1,60829.48,1123655.10667,8.79786959393,1,0,0,1,0.0,0,20170317 09:31:18
