,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-10 09:35:00,14.5,14.54,14.26,14.305,40192.0,-0.0141281874569,14.3948211435,-0.0015575262067,14.408245,0.0,0,0,0,577492.053333,577492.053333,40192.0,14.3683333333,1,0,0,1,0.0,0,0.0,20170410 09:48:19
2017-04-10 09:40:00,14.29,14.4,14.2801,14.33,6217.0,0.00174764068508,14.3818569148,-0.00090061755996,14.4007930952,0.0,0,0,0,89131.2639,666623.317233,46409.0,14.3640956977,1,0,0,1,0.0,0,0.0,20170410 09:48:19
2017-04-10 09:45:00,14.34,14.38,14.34,14.3401,2500.0,0.000704815073273,14.3735055318,-0.000580688780657,14.3950128005,0.0,0,0,0,35883.4166667,702506.7339,48909.0,14.3635472796,1,0,0,1,0.0,0,0.0,20170410 09:48:19
