,Close,High,Low,Open,Volume,ClosePC,0.001<ClosePC<0.05,HighPC>0.001,SAR,SART,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-10 09:35:00,20.79,20.79,20.66,20.67,25742.0,0.00531914893617,1,1,20.66,1,20.72190057,0.000822263206342,20.67791,0.0,1,0,1,534060.693333,534060.693333,25742.0,20.7466666667,-1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 09:40:00,20.88,20.895,20.7975,20.8,114343.0,0.004329004329,1,1,20.66,1,20.753520456,0.00152591630702,20.6971566667,0.0,1,1,1,2384909.1225,2918969.81583,140085.0,20.8371332822,-1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 09:45:00,20.98,20.98,20.8548,20.87,106441.0,0.00478927203065,1,1,20.66,1,20.7988163648,0.00218256506841,20.724094127,0.0,1,1,1,2228690.04227,5147659.8581,246526.0,20.8807990155,-1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 09:50:00,21.07,21.07,20.85,20.98,443903.0,0.00428979980934,1,1,20.6984,1,20.8530530919,0.00260768334523,20.7570375435,0.0,1,1,1,9320483.32333,14468143.1814,690429.0,20.9552947246,-1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 09:55:00,21.11,21.11,21.05,21.07,28484.0,0.00189843379212,1,1,20.757856,1,20.9044424735,0.0024643576843,20.7906530155,0.0,0,1,1,600727.56,15068870.7414,718913.0,20.9606318726,-1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 10:00:00,21.17,21.17,21.105,21.11,39479.0,0.00284225485552,1,1,20.8282848,1,20.9575539788,0.0025406803061,20.8267812997,0.0,0,1,1,834915.051667,15903785.7931,758392.0,20.970402896,-1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 10:05:00,21.18,21.19,21.165,21.18,28195.0,0.000472366556448,0,0,20.89662784,1,21.002043183,0.00212282427076,20.860421176,0.0,0,1,1,597123.108333,16500908.9014,786587.0,20.9778561067,1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 10:10:00,21.15,21.205,21.14,21.19,85767.0,-0.0014164305949,0,0,20.955302272,1,21.0316345464,0.00140897545709,20.8880001116,0.0,0,1,1,1815258.555,18316167.4564,872354.0,20.9962554839,1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 10:15:00,21.12,21.15,21.07,21.15,42873.0,-0.00141843971631,0,0,21.0052418176,1,21.0493076371,0.000840309899634,20.9100953391,0.0,0,0,1,905191.94,19221359.3964,915227.0,21.0017398923,1,0,0,1,0.0,0,0.0,20170415 18:54:04
2017-04-10 10:20:00,21.12,21.14,21.09,21.115,45597.0,0.0,0,0,21.0451934541,1,21.0634461097,0.000671683497415,20.9300862591,0.0,0,0,1,962856.65,20184216.0464,960824.0,21.0071938736,1,0,0,1,0.0,0,0.0,20170415 18:54:04
