Date,Close,High,Low,Open,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-04-24 10:25:00,21.205,21.305,21.205,21.275,33835.0,-0.00329024676851,21.3307067877,-0.00147114036844,21.3444017802,-1.0,0,0,0,718599.008333,9162638.92,428863.0,21.3649555219,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:30:00,21.225,21.265,21.185,21.205,35242.0,0.000943173779769,21.3095654302,-0.000991123161114,21.3330301821,0.0,0,0,0,748011.45,9910650.37,464105.0,21.354327943,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:35:00,21.275,21.315,21.225,21.225,30398.0,0.00235571260306,21.3026523441,-0.000324412342186,21.3275034981,0.0,0,0,0,646616.123333,10557266.4933,494503.0,21.3492466038,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:40:00,21.225,21.295,21.225,21.275,19276.0,-0.00235017626322,21.2871218753,-0.000729039209524,21.3177412602,0.0,0,0,0,409582.873333,10966849.3667,513779.0,21.345460532,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:45:00,21.285,21.315,21.215,21.225,17036.0,0.00282685512367,21.2866975002,-1.99357650638e-05,21.3146230449,0.0,0,0,0,362384.113333,11329233.48,530815.0,21.3430921884,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:50:00,21.295,21.295,21.255,21.285,8768.0,0.000469814423303,21.2883580002,7.80064616182e-05,21.3127541835,0.0,0,0,0,186597.653333,11515831.1333,539583.0,21.3420940492,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 10:55:00,21.345,21.345,21.275,21.295,16819.0,0.00234796900681,21.2996864002,0.000532140617004,21.3158252136,0.0,0,0,0,358609.111667,11874440.245,556402.0,21.3414765673,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 11:00:00,21.365,21.365,21.325,21.345,11661.0,0.000936987584915,21.3127491201,0.000613282267333,21.3205085266,0.0,0,0,0,248981.785,12123422.03,568063.0,21.3416857461,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 11:00:00,21.36,21.36,21.325,21.345,10798.0,-0.000234027615259,21.3221992961,0.000443404833507,21.3242696193,0.0,0,0,0,230519.303333,12353941.3333,578861.0,21.3418097494,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 11:05:00,21.385,21.385,21.355,21.365,23885.0,0.00117041198502,21.3347594369,0.0005890640363,21.3300534651,1.0,0,0,1,510541.875,12864483.2083,602746.0,21.3431249786,-1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 11:10:00,21.425,21.435,21.385,21.385,15230.0,0.00187046995558,21.3528075495,0.000845948728764,21.3390959922,0.0,0,0,1,326150.45,13190633.6583,617976.0,21.3448963363,1,0,0,1,0.0,0,0.0,20170424 11:20:09
2017-04-24 11:15:00,21.465,21.465,21.425,21.425,13333.0,0.00186697782964,21.3752460396,0.00105084495551,21.3510868501,0.0,0,1,1,286015.071667,13476648.73,631309.0,21.3471512841,1,0,0,1,0.0,0,0.0,20170424 11:20:09
