Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,ClosePC>0.003,EMA9,EMA9PC,EMA9PC>0.001,EMA20,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-10 09:35:00,246.21,246.5,244.01,244.59,196355.0,196355.0,-0.00625685613294,0,246.272663724,-0.00170521810033,0,246.471,0,48113520.1667,48113520.1667,245.033333333,1,0,0,1,0
2017-03-10 09:40:00,244.61,245.77,244.42,244.935,81279.0,277634.0,0.0014105237336,0,246.005130979,-0.0010863274093,0,246.324714286,0,19916741.625,68030261.7917,245.035772966,1,0,0,1,0
2017-03-10 09:45:00,244.9184,245.5,244.76,245.2352,31086.0,308720.0,0.00122563128993,0,245.851144783,-0.000625947089801,0,246.22095102,0,7621201.2624,75651463.0541,245.048791961,1,0,0,1,0
2017-03-10 09:50:00,245.1,245.28,244.6,245.03,20173.0,328893.0,-0.000836747742575,0,245.686915827,-0.000668001594195,0,246.107527114,0,4941779.81,80593242.8641,245.043959172,1,0,0,1,0
2017-03-10 09:55:00,245.0,245.34,244.62,244.86,38295.0,367188.0,-0.000693792596825,0,245.521532661,-0.000673146002763,0,245.988715008,0,9379977.3,89973220.1641,245.033116997,1,0,0,1,0
2017-03-10 10:00:00,244.92,244.99,244.05,244.4,37489.0,404677.0,-0.00187862452013,0,245.297226129,-0.00091359209852,0,245.837408816,0,9165310.72,99138530.8841,244.981876618,1,0,0,1,0
2017-03-10 10:05:00,244.5114,244.8072,244.16,244.4204,73311.0,477988.0,8.34697217675e-05,0,245.121860903,-0.000714909127071,0,245.702455596,0,17921792.7812,117060323.665,244.902222786,1,0,0,1,0
2017-03-10 10:10:00,244.43,244.6,244.22,244.3503,43821.0,521809.0,-0.000286800938056,0,244.967548723,-0.000629532511197,0,245.573678872,0,10709418.5721,127769742.237,244.859215225,1,0,0,1,0
2017-03-10 10:15:00,244.27,244.46,243.29,243.6313,80884.0,602693.0,-0.00294249689892,0,244.700298978,-0.00109095978593,0,245.388690408,0,19719015.0231,147488757.26,244.716227433,-1,0,0,1,0
2017-03-10 10:20:00,243.6,243.97,243.36,243.5596,57536.0,660229.0,-0.000294297161325,0,244.472159182,-0.000932323321895,0,245.214491322,0,14017488.0085,161506245.269,244.621555959,-1,0,0,1,0
2017-03-10 10:25:00,243.57,244.729,243.51,244.5675,114547.0,774776.0,0.00413820682905,1,244.491227346,7.79972802389e-05,0,245.152873101,0,27980262.0518,189486507.321,244.569407572,-1,0,0,1,0
2017-03-10 10:30:00,244.52,244.95,244.41,244.6636,56971.0,831747.0,0.000392938554796,0,244.525701877,0.000141005185268,0,245.106275663,0,13939352.8385,203425860.159,244.576608223,-1,0,0,1,0
2017-03-10 10:35:00,244.66,245.0,244.22,244.34,101700.0,933447.0,-0.00132263238177,0,244.488561501,-0.000151887409251,0,245.033297028,0,24867684.0,228293544.159,244.570440699,-1,0,0,1,0
2017-03-10 10:40:00,244.33,244.55,243.85,244.125,43279.0,976726.0,-0.000879921420971,0,244.415849201,-0.000297405734797,0,244.946792549,0,10567649.825,238861193.984,244.552918612,-1,0,0,1,0
2017-03-10 10:45:00,244.2,244.75,243.9,244.4936,38612.0,1015338.0,0.00150988223246,0,244.431399361,6.36217324885e-05,0,244.903631354,0,9436046.8944,248297240.879,244.546388374,-1,0,0,1,0
2017-03-10 10:50:00,244.5879,245.24,244.51,244.92,75425.0,1090763.0,0.00174401293122,0,244.529119489,0.000399785494313,0,244.905190273,0,18470828.25,266768069.129,244.57014872,-1,0,0,1,0
2017-03-10 10:55:00,244.98,245.25,244.8941,245.1813,55016.0,1145779.0,0.00106687898089,0,244.659555591,0.000533417461806,0,244.931486437,0,13484887.4021,280252956.531,244.595996724,1,0,0,1,0
2017-03-10 11:00:00,245.2447,245.55,245.0,245.16,51241.0,1197020.0,-8.68744883887e-05,0,244.759644473,0.000409094513241,0,244.953249634,0,12566172.0367,292819128.568,244.623421971,1,0,0,1,0
2017-03-10 11:05:00,245.14,245.29,244.71,244.83,23306.0,1220326.0,-0.0013460597161,0,244.773715578,5.74894830956e-05,0,244.941511573,0,5708649.32667,298527777.894,244.629531694,1,0,0,1,0
2017-03-10 11:10:00,244.8993,245.2143,244.71,245.2143,18992.0,1239318.0,0.00156966058081,0,244.861832463,0.000359993245788,0,244.967491423,0,4653917.4304,303181695.325,244.635916952,1,0,0,1,0
2017-03-10 11:15:00,245.09,245.13,244.71,244.83,15526.0,1254844.0,-0.00156720060779,0,244.85546597,-2.60003466126e-05,0,244.954397002,0,3802162.14,306983857.465,244.639060684,1,0,0,1,0
2017-03-10 11:20:00,244.94,244.94,244.47,244.51,28949.0,1283793.0,-0.00130702936732,0,244.786372776,-0.000282179504302,0,244.912073478,0,7082083.36,314065940.825,244.639081865,1,0,0,1,0
2017-03-10 11:25:00,244.54,244.65,244.35,244.52,22981.0,1306774.0,4.08981227762e-05,0,244.733098221,-0.00021763693218,0,244.874733147,0,5619007.70667,319684948.531,244.636753204,1,0,0,1,0
2017-03-10 11:30:00,244.5102,244.89,244.4892,244.79,23768.0,1330542.0,0.00110420415508,0,244.744478577,4.65010900217e-05,0,244.866663323,0,5816577.84853,325501526.38,244.638295056,1,0,0,1,0
2017-03-10 11:35:00,244.79,244.8,244.5,244.57,15555.0,1346097.0,-0.000898729523265,0,244.709582861,-0.000142580194403,0,244.838409674,0,3805115.95,329306642.33,244.638122163,1,0,0,1,0
2017-03-10 11:40:00,244.58,244.7,244.51,244.6,5950.0,1352047.0,0.000122664267899,0,244.687666289,-8.9561561143e-05,0,244.81570399,0,1455389.83333,330762032.163,244.637969067,1,0,0,1,0
2017-03-10 11:45:00,244.61,244.76,244.51,244.72,8822.0,1360869.0,0.000490596892886,0,244.694133031,2.6428558022e-05,0,244.806589325,0,2158419.92667,332920452.09,244.638133494,1,0,0,1,0
2017-03-10 11:50:00,244.66,244.89,244.55,244.79,8544.0,1369413.0,0.000286041189931,0,244.713306425,7.83565732088e-05,0,244.805009389,0,2091087.04,335011539.13,244.638789854,1,0,0,1,0
2017-03-10 11:55:00,244.7,244.89,244.6,244.89,6555.0,1375968.0,0.000408513419666,0,244.74864514,0.000144408636846,0,244.813103733,0,1604620.3,336616159.43,244.639526086,1,0,0,1,0
2017-03-10 12:00:00,244.85,244.949,244.38,244.55,28577.0,1404545.0,-0.00138837845563,0,244.708916112,-0.000162325834238,0,244.788046234,0,6990686.72767,343606846.157,244.639257665,1,0,0,1,0
2017-03-10 12:05:00,244.5547,244.82,244.5,244.5495,15231.0,1419776.0,-2.04457166231e-06,0,244.67703289,-0.000130290399333,0,244.765327545,0,3725855.4515,347332701.609,244.639085045,1,0,0,1,0
2017-03-10 12:10:00,244.62,244.75,244.51,244.63,9900.0,1429676.0,0.000329176710645,0,244.667626312,-3.84448749008e-05,0,244.752439208,0,2421837.0,349754538.609,244.639022134,1,0,0,1,0
2017-03-10 12:15:00,244.6196,244.67,244.45,244.5906,8959.0,1438635.0,-0.000161059559335,0,244.652221049,-6.29640405175e-05,0,244.73702595,0,2191104.4218,351945643.031,244.638593549,1,0,0,1,0
2017-03-10 12:20:00,244.62,244.78,244.5713,244.64,13129.0,1451764.0,0.000201970149303,0,244.649776839,-9.99054845552e-06,0,244.727785383,0,3212190.59257,355157833.623,244.638821202,1,0,0,1,0
2017-03-10 12:25:00,244.64,244.82,244.6,244.75,6733.0,1458497.0,0.00044964028777,0,244.669821472,8.19319451815e-05,0,244.729901061,0,1647722.20333,356805555.827,244.639211343,1,0,0,1,0
2017-03-10 12:30:00,244.67,244.81,244.59,244.7,10992.0,1469489.0,-0.000204290091931,0,244.675857177,2.46687787133e-05,0,244.727053341,0,2689742.4,359495298.227,244.639666052,1,0,0,1,0
2017-03-10 12:35:00,244.59,244.59,244.042,244.12,20491.0,1489980.0,-0.00237024928484,0,244.564685742,-0.000454362096594,0,244.669238737,0,5004940.41067,364500238.637,244.634316325,-1,0,0,1,0
2017-03-10 12:40:00,244.08,244.198,243.77,243.88,40240.0,1530220.0,-0.000983123054236,0,244.427748593,-0.000559922001605,0,244.594073143,0,9816521.17333,374316759.811,244.616303414,-1,0,0,1,0
