,Open,High,Low,Close,Volume,ClosePC,EMA9,EMA9PC,EMA20,EMA9XEMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,TotalVolume,VWAP,EMA9>VWAP,impulse,state,F,_QTY,QTY,value,timestamp
2017-03-30 09:35:00,6.98,6.98,6.66,6.8,117120.0,-0.025787965616,6.93872791133,-0.00497346038516,7.052,0.0,0,0,0,797977.6,797977.6,117120.0,6.81333333333,1,0,0,1,0.0,0,0.0,20170330 16:18:02
2017-03-30 09:40:00,6.84,6.85,6.615,6.6866,77738.0,-0.0166764705882,6.88830232907,-0.0072672661201,7.0172,0.0,0,0,0,522181.6936,1320159.2936,194858.0,6.77498123557,1,0,0,1,0.0,0,0.0,20170330 16:18:02
2017-03-30 09:45:00,6.694,6.79,6.66,6.7868,34427.0,0.0149851942691,6.86800186325,-0.00294709274412,6.99525714286,0.0,1,0,0,232230.7712,1552390.0648,229285.0,6.77056966134,1,0,0,1,0.0,0,0.0,20170330 16:18:02
2017-03-30 09:50:00,6.6976,6.95,6.6976,6.9092,96598.0,0.0180350091354,6.8762414906,0.00119971245108,6.98706122449,0.0,1,1,0,661915.255467,2214305.32027,325883.0,6.79478622778,1,0,0,1,0.0,0,0.0,20170330 16:18:02
2017-03-30 09:55:00,6.905,7.25,6.85,7.18,357546.0,0.0391941179876,6.93699319248,0.00883501575134,7.00543634597,0.0,1,1,0,2536192.96,4750498.28027,683429.0,6.95097556625,-1,0,0,1,0.0,0,0.0,20170330 16:18:02
2017-03-30 10:00:00,7.18,7.95,7.1668,7.5313,800422.0,0.0489275766017,7.05585455399,0.0171344209524,7.05551859873,1.0,1,1,1,6042679.16607,10793177.4463,1483851.0,7.27376094118,-1,1,1,1,7.5313,39,293.7207,20170330 16:18:02
2017-03-30 10:05:00,7.5544,7.63,7.33,7.5,360592.0,-0.00415598900588,7.14468364319,0.0125894161399,7.09785016076,0.0,0,1,1,2699632.10667,13492809.553,1844443.0,7.31538440223,-1,0,1,1,7.5,39,292.5,20170330 16:18:02
2017-03-30 10:10:00,7.48,7.5,7.26,7.2689,187771.0,-0.0308133333333,7.16952691455,0.00347716884372,7.11414062164,0.0,0,1,1,1378796.19397,14871605.747,2032214.0,7.31793292782,-1,0,1,1,7.2689,39,283.4871,20170330 16:18:02
2017-03-30 10:15:00,7.27,7.42,7.23,7.241,157083.0,-0.00383826988953,7.18382153164,0.0019938019984,7.1262224672,0.0,0,1,1,1146234.651,16017840.398,2189297.0,7.31643098125,-1,0,1,1,7.241,39,282.399,20170330 16:18:02
2017-03-30 10:20:00,7.25,7.32,7.116,7.19,142039.0,-0.00704322607375,7.18505722531,0.000172010630614,7.13229651794,0.0,0,0,1,1023911.80467,17041752.2026,2331336.0,7.30986533157,-1,0,1,1,7.19,39,280.41,20170330 16:18:02
2017-03-30 10:25:00,7.2,7.2,7.02,7.06,87318.0,-0.0180806675939,7.16004578025,-0.00348103630607,7.12541113528,0.0,0,0,1,619375.68,17661127.8826,2418654.0,7.30204811545,-1,0,1,1,7.06,39,275.34,20170330 16:18:02
2017-03-30 10:30:00,7.06,7.065,6.8701,6.925,94063.0,-0.0191218130312,7.1130366242,-0.00656548260902,7.10632436049,0.0,0,0,1,654054.528767,18315182.4114,2512717.0,7.28899530325,-1,0,1,1,6.925,39,270.075,20170330 16:18:02
2017-03-30 10:35:00,6.93,7.02,6.91,6.9227,70789.0,-0.000332129963899,7.07496929936,-0.00535176842904,7.08883632616,-1.0,0,0,0,492047.2601,18807229.6715,2583506.0,7.2797313695,-1,0,1,1,6.9227,39,269.9853,20170330 16:18:02
2017-03-30 10:40:00,6.937,7.01,6.92,6.966,8659.0,0.00625478498274,7.05317543949,-0.00308041758909,7.07713762843,0.0,1,0,0,60312.8213333,18867542.4928,2592165.0,7.27868113829,-1,0,1,1,6.966,39,271.674,20170330 16:18:02
2017-03-30 10:45:00,6.966,7.02,6.93,6.9499,35775.0,-0.00231122595464,7.03252035159,-0.00292848066446,7.06501975905,0.0,0,0,0,249231.3075,19116773.8003,2627940.0,7.27443313026,-1,0,1,1,6.9499,39,271.0461,20170330 16:18:02
2017-03-30 10:50:00,6.9973,7.14,6.9877,7.03,90341.0,0.0115253456884,7.03201628127,-7.16770507412e-05,7.06168454391,0.0,1,0,0,637135.925233,19753909.7256,2718281.0,7.2670594856,-1,0,1,1,7.03,39,274.17,20170330 16:18:02
2017-03-30 10:55:00,7.03,7.13,7.0213,7.0599,20918.0,0.00425320056899,7.03759302502,0.00079305045985,7.06151458734,0.0,1,0,0,147898.6272,19901808.3528,2739199.0,7.26555768776,-1,0,1,1,7.0599,39,275.3361,20170330 16:18:02
2017-03-30 11:00:00,7.05,7.12,7.0399,7.12,16595.0,0.00851286845423,7.05407442001,0.0023419079418,7.06708462664,0.0,1,1,0,117713.3135,20019521.6663,2755794.0,7.26452037644,-1,0,1,1,7.12,39,277.68,20170330 16:18:02
2017-03-30 11:05:00,7.1199,7.13,6.91,6.96,61997.0,-0.0224719101124,7.03525953601,-0.0026672363917,7.05688609077,0.0,0,0,0,433979.0,20453500.6663,2817791.0,7.25870040264,-1,0,1,1,6.96,39,271.44,20170330 16:18:02
2017-03-30 11:10:00,6.955,6.996,6.9396,6.996,15537.0,0.0051724137931,7.02740762881,-0.00111607925224,7.05108741546,0.0,1,0,0,108404.7564,20561905.4227,2833328.0,7.25715675088,-1,0,1,1,6.996,39,272.844,20170330 16:18:02
2017-03-30 11:15:00,6.955,7.06,6.955,7.036,9700.0,0.00571755288736,7.02912610305,0.000244538858273,7.04965051875,0.0,1,0,0,68064.9,20629970.3227,2843028.0,7.25633737081,-1,0,1,1,7.036,39,274.404,20170330 16:18:02
2017-03-30 11:20:00,7.024,7.0565,7.0,7.02,12250.0,-0.00227401932916,7.02730088244,-0.000259665367032,7.04682665982,0.0,0,0,0,86062.375,20716032.6977,2855278.0,7.25534700918,-1,0,1,1,7.02,39,273.78,20170330 16:18:02
