Date,Open,High,Low,Close,Volume,TotalVolume,ClosePC,EMA9,EMA9PC,EMA20,ClosePC>0.003,EMA9PC>0.001,EMA9>EMA20,VP,TotalVP,VWAP,EMA9>VWAP,impulse,state,F,QTY
2017-03-10 10:45:00,9.47,9.47,9.4,9.43,2400.0,105571.0,-0.00317124735729,9.42343380527,0.000174228919325,9.33461260075,0,0,1,22640.0,996591.596067,9.44001284507,-1,0,1,1,530
2017-03-10 10:50:00,9.43,9.43,9.42,9.42,926.0,106497.0,-0.00106044538706,9.42274704421,-7.28780047506e-05,9.34274473401,0,0,1,8726.00666667,1005317.60273,9.43986781537,-1,0,1,1,530
2017-03-10 10:55:00,9.42,9.43,9.42,9.43,1600.0,108097.0,0.00106157112527,9.42419763537,0.000153945675321,9.35105475934,0,0,1,15082.6666667,1020400.2694,9.43967241829,-1,0,1,1,530
2017-03-10 11:00:00,9.44,9.44,9.42,9.44,500.0,108597.0,0.00106044538706,9.4273581083,0.000335357241853,9.35952573464,0,0,1,4716.66666667,1025116.93607,9.43964323201,-1,0,1,1,529
2017-03-10 11:05:00,9.43,9.4325,9.39,9.39,5173.0,113770.0,-0.00529661016949,9.41988648664,-0.000792546710714,9.36242804563,0,0,1,48647.7541667,1073764.69023,9.4380301506,-1,0,1,1,532
2017-03-10 11:10:00,9.395,9.44,9.395,9.44,1700.0,115470.0,0.00532481363152,9.42390918931,0.000427043646241,9.36981585081,1,0,1,16022.5,1089787.19023,9.437838315,-1,0,1,1,529
2017-03-10 11:15:00,9.4,9.43,9.39,9.4,14939.0,130409.0,-0.00423728813559,9.41912735145,-0.000507415528524,9.37269053168,0,0,1,140526.193333,1230313.38357,9.43426744754,-1,0,1,1,531
2017-03-10 11:20:00,9.4,9.42,9.3801,9.42,5500.0,135909.0,0.00212765957447,9.41930188116,1.85292866151e-05,9.37719619533,0,0,1,51736.85,1282050.23357,9.43315184106,-1,0,1,1,530
2017-03-10 11:25:00,9.41,9.44,9.41,9.44,6630.0,142539.0,0.00212314225053,9.42344150493,0.000439483076401,9.38317751006,0,0,1,62520.9,1344571.13357,9.43300523763,-1,0,1,1,529
2017-03-10 11:30:00,9.43,9.43,9.36,9.37,7672.0,150211.0,-0.00741525423729,9.41275320394,-0.00113422479248,9.3819225091,0,0,1,72014.5066667,1416585.64023,9.43063850339,-1,0,1,1,533
2017-03-10 11:35:00,9.38,9.44,9.36,9.41,11590.0,161801.0,0.0042689434365,9.41220256315,-5.84994396821e-05,9.38459655586,1,0,1,108984.633333,1525570.27357,9.42868260126,-1,0,1,1,531
2017-03-10 11:40:00,9.41,9.42,9.41,9.42,880.0,162681.0,0.00106269925611,9.41376205052,0.00016568782481,9.38796831244,0,0,1,8286.66666667,1533856.94023,9.42861760275,-1,0,1,1,530
2017-03-10 11:45:00,9.4195,9.44,9.4195,9.44,445.0,163126.0,0.00212314225053,9.41900964042,0.000557438128065,9.39292371126,0,0,1,4197.75916667,1538054.6994,9.42863001238,-1,0,1,1,529
2017-03-10 11:50:00,9.44,9.45,9.44,9.44,600.0,163726.0,0.0,9.42320771233,0.000445702051135,9.39740716733,0,0,1,5666.0,1543720.6994,9.42868389504,-1,0,1,1,529
